Rule 14:
If predecessor ?b, then father ?b.
Charles Martel has father Pepin of Herstal, Charles Martel has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Theudoald, Theudoald has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Drogo of Champagne, Drogo of Champagne has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VI Count of Luxembourg has father Henry V Count of Luxembourg, Henry VI Count of Luxembourg has predecessor Henry V Count of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John of Bohemia has father Henry VII Holy Roman Emperor, John of Bohemia has predecessor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has predecessor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Elizabeth I, Elizabeth I has predecessor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip III of Spain, Philip III of Spain has predecessor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh II Duke of Burgundy has father Odo I Duke of Burgundy, Hugh II Duke of Burgundy has predecessor Odo I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
French Revolution of 1848, French Revolution of 1848 has predecessor Prince Philippe Count of Paris The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Jacques Charles Dupont de l Eure, Jacques Charles Dupont de l Eure has predecessor Prince Philippe Count of Paris The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry IV of England has father John of Gaunt, Henry IV of England has predecessor John of Gaunt The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John IV Duke of Brittany, John IV Duke of Brittany has predecessor John of Gaunt The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand I of Portugal, Ferdinand I of Portugal has predecessor Peter I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso II Count of Provence, Alfonso II Count of Provence has predecessor Sancho Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis VIII of France has father Philip II of France, Louis VIII of France has predecessor Philip II of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon has father John II of Aragon, Ferdinand II of Aragon has predecessor John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Eleanor of Navarre, Eleanor of Navarre has predecessor John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Prince Ferdinand Duke of Montpensier, Prince Ferdinand Duke of Montpensier has predecessor Antoine Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Louis II of Hungary The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis III of France has father Louis the Stammerer, Louis III of France has predecessor Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Carloman II has father Louis the Stammerer, Carloman II has predecessor Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Maximilian I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Jeanne d Albret, Jeanne d Albret has predecessor Antoine of Navarre The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has predecessor Sviatopolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has predecessor Charles V of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Napol on Louis Bonaparte, Napol on Louis Bonaparte has predecessor Louis Bonaparte The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles the Fat, Charles the Fat has predecessor Carloman II The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Wilfred the Hairy, Wilfred the Hairy has predecessor Bernard of Gothia The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Sancho I of Portugal has father Afonso I of Portugal, Sancho I of Portugal has predecessor Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles III Duke of Lorraine has father Francis I Duke of Lorraine, Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ramon Berenguer I Count of Barcelona has father Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has predecessor Berenguer Ramon I Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip IV of Spain has father Philip III of Spain, Philip IV of Spain has predecessor Philip III of Spain The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francis Hyacinth Duke of Savoy, Francis Hyacinth Duke of Savoy has predecessor Victor Amadeus I Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis X of France, Louis X of France has predecessor Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Lothair I, Lothair I has predecessor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis the German has father Louis the Pious, Louis the German has predecessor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Pepin I of Aquitaine, Pepin I of Aquitaine has predecessor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VII of France has father Charles VI of France, Charles VII of France has predecessor Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry VI of England, Henry VI of England has predecessor Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Anne of Brittany has father Francis II Duke of Brittany, Anne of Brittany has predecessor Francis II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francis I Duke of Lorraine has father Antoine Duke of Lorraine, Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Piero di Cosimo de Medici has father Cosimo de Medici, Piero di Cosimo de Medici has predecessor Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles III of Spain, Charles III of Spain has predecessor Charles VI Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis IX of France has father Louis VIII of France, Louis IX of France has predecessor Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Manuel I of Portugal, Manuel I of Portugal has predecessor John II of Portugal The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
James II of Scotland has father James I of Scotland, James II of Scotland has predecessor James I of Scotland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Floris I Count of Holland, Floris I Count of Holland has predecessor Dirk IV Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry I of France, Henry I of France has predecessor Hugh Magnus The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has predecessor Joanna II of Naples The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has predecessor Ernest I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John II of France has father Philip VI of France, John II of France has predecessor Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Vladimir the Great, Vladimir the Great has predecessor Yaropolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John IV Duke of Brittany, John IV Duke of Brittany has predecessor John of Montfort The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip II of Spain has father Charles V Holy Roman Emperor, Philip II of Spain has predecessor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John II Duke of Lorraine, John II Duke of Lorraine has predecessor Isabella Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Dirk I Count of Holland, Dirk I Count of Holland has predecessor Gerolf of Holland The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ecgberht King of Wessex, Ecgberht King of Wessex has predecessor Beorhtric of Wessex The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris, Prince Philippe Count of Paris has predecessor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Philippe I, Louis Philippe I has predecessor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles IV of France, Charles IV of France has predecessor Philip V of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John I Duke of Brittany has father Peter I Duke of Brittany, John I Duke of Brittany has predecessor Peter I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Arthur II Duke of Brittany, Arthur II Duke of Brittany has predecessor John II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis VII of France has father Louis VI of France, Louis VII of France has predecessor Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis XVII has father Louis XVI, Louis XVII has predecessor Louis XVI The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Edward the Elder has father Alfred the Great, Edward the Elder has predecessor Alfred the Great The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip I of Castile, Philip I of Castile has predecessor Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
