Rule 5:
If child ?b, then successor ?b.
Charles IV of France, Charles IV of France has child Blanche of France Duchess of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joan of  vreux, Joan of  vreux has child Blanche of France Duchess of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles IX of France, Charles IX of France has child Charles de Valois Duke of Angoul me The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Martel, Charles Martel has child Auda of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VII of France, Charles VII of France has child Catherine of France Countess of Charolais The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has child Catherine of France Countess of Charolais The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has child Catherine of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles V of France, Charles V of France has child Catherine of France Countess of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Bourbon, Joanna of Bourbon has child Catherine of France Countess of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles X, Charles X has child Charles Ferdinand Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Savoy, Maria Theresa of Savoy has child Charles Ferdinand Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles the Bald, Charles the Bald has child Carloman son of Charles the Bald The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ermentrude of Orl ans, Ermentrude of Orl ans has child Carloman son of Charles the Bald The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles the Bold has successor Mary of Burgundy, Charles the Bold has child Mary of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Isabella of Bourbon, Isabella of Bourbon has child Mary of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles the Fat, Charles the Fat has child Bernard son of Charles the Fat The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles the Simple, Charles the Simple has child Gisela of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Frederuna, Frederuna has child Gisela of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has child Ercole III d Este Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Bourbon Queen of Cyprus, Charlotte of Bourbon Queen of Cyprus has child Anne of Cyprus The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Mecklenburg Strelitz, Charlotte of Mecklenburg Strelitz has child Charlotte Princess Royal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George III, George III has child Charlotte Princess Royal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlotte of Savoy, Charlotte of Savoy has child Anne of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XI, Louis XI has child Anne of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has child Agnes of Hesse The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Claude of France, Claude of France has child Charles II de Valois Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has child Charles II de Valois Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Clemence of Austria, Clemence of Austria has child Beatrice of Hungary Dauphine of Viennois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Clementia of Hungary, Clementia of Hungary has child John I of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Conrad I of Burgundy, Conrad I of Burgundy has child Bertha of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Matilda of France, Matilda of France has child Bertha of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Constance of Arles, Constance of Arles has child Adela of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II of France, Robert II of France has child Adela of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Constance of Castile, Constance of Castile has child Alys of France Countess of Vexin The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VII of France, Louis VII of France has child Alys of France Countess of Vexin The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Ferdinando I de Medici Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Countess Palatine Caroline of Zweibr cken, Countess Palatine Caroline of Zweibr cken has child Frederica Louisa of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Countess Palatine Dorothea Sophie of Neuburg, Countess Palatine Dorothea Sophie of Neuburg has child Elisabeth Farnese The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Denis of Portugal, Denis of Portugal has child Afonso IV of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Dirk III Count of Holland has successor Dirk IV Count of Holland, Dirk III Count of Holland has child Dirk IV Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Dirk II Count of Holland has successor Arnulf Count of Holland, Dirk II Count of Holland has child Arnulf Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Dirk I Count of Holland has successor Dirk II Count of Holland, Dirk I Count of Holland has child Dirk II Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has child Prince Philippe Count of Paris The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand Philippe Duke of Orl ans, Ferdinand Philippe Duke of Orl ans has child Prince Philippe Count of Paris The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Duke Charles Louis Frederick of Mecklenburg, Duke Charles Louis Frederick of Mecklenburg has child Adolphus Frederick IV Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Elisabeth Albertine of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has child Adolphus Frederick IV Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eadgifu of Wessex, Eadgifu of Wessex has child Louis IV of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ecgberht King of Wessex has successor  thelwulf King of Wessex, Ecgberht King of Wessex has child  thelwulf King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Edward II of England, Edward II of England has child Adam FitzRoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward I of England, Edward I of England has child Alphonso Earl of Chester The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Castile, Eleanor of Castile has child Alphonso Earl of Chester The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward King of Portugal has successor Afonso V of Portugal, Edward King of Portugal has child Afonso V of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has child Afonso V of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward the Elder, Edward the Elder has child Eadburh of Winchester The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Alburquerque, Eleanor of Alburquerque has child Alfonso V of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of Aragon has successor Alfonso V of Aragon, Ferdinand I of Aragon has child Alfonso V of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Eleanor of Aquitaine, Eleanor of Aquitaine has child Alix of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VII of France, Louis VII of France has child Alix of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Austria, Eleanor of Austria has child Maria of Portugal Duchess of Viseu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Lancaster, Eleanor of Lancaster has child Alice Holland Countess of Kent The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Navarre, Eleanor of Navarre has child Catherine of Foix Countess of Candale The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Provence, Eleanor of Provence has child Beatrice of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry III of England, Henry III of England has child Beatrice of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Viseu, Eleanor of Viseu has child Afonso Prince of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of Portugal, John II of Portugal has child Afonso Prince of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth Christine of Brunswic Wolfenb ttel, Elisabeth Christine of Brunswic Wolfenb ttel has child Archduchess Maria Anna of Austria governor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth Farnese, Elisabeth Farnese has child Charles III of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has child Charles III of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Austria Queen of France, Elisabeth of Austria Queen of France has child Marie Elisabeth of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles IX of France, Charles IX of France has child Marie Elisabeth of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has child Balthasar Charles Prince of Asturias The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip IV of Spain, Philip IV of Spain has child Balthasar Charles Prince of Asturias The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Meissen has child Beatrice of Nuremberg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Elisabeth of Nuremberg has child John Count Palatine of Neumarkt The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
