Rule 24:
If predecessor ?a, then child ?b.
Pepin of Herstal has child Grimoald the Younger, Grimoald the Younger has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Pepin of Herstal has child Charles Martel, Charles Martel has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Pepin of Herstal, Theudoald has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Pepin of Herstal, Drogo of Champagne has predecessor Pepin of Herstal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry V Count of Luxembourg, Henry VI Count of Luxembourg has predecessor Henry V Count of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henry VII Holy Roman Emperor has child John of Bohemia, John of Bohemia has predecessor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor, Louis IV Holy Roman Emperor has predecessor Henry VII Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip II of Spain, Elizabeth I has predecessor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip II of Spain, Philip III of Spain has predecessor Philip II of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Odo I Duke of Burgundy has child Hugh II Duke of Burgundy, Hugh II Duke of Burgundy has predecessor Odo I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Prince Philippe Count of Paris, French Revolution of 1848 has predecessor Prince Philippe Count of Paris The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris, Jacques Charles Dupont de l Eure has predecessor Prince Philippe Count of Paris The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John of Gaunt, Henry IV of England has predecessor John of Gaunt The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John of Gaunt, John IV Duke of Brittany has predecessor John of Gaunt The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Peter I of Portugal has child Ferdinand I of Portugal, Ferdinand I of Portugal has predecessor Peter I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Sancho Count of Provence, Alfonso II Count of Provence has predecessor Sancho Count of Provence The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip II of France has child Louis VIII of France, Louis VIII of France has predecessor Philip II of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John II of Aragon has child Ferdinand II of Aragon, Ferdinand II of Aragon has predecessor John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John II of Aragon has child Eleanor of Navarre, Eleanor of Navarre has predecessor John II of Aragon The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Antoine Duke of Montpensier, Prince Ferdinand Duke of Montpensier has predecessor Antoine Duke of Montpensier The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis II of Hungary, Ferdinand I Holy Roman Emperor has predecessor Louis II of Hungary The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis the Stammerer has child Louis III of France, Louis III of France has predecessor Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Carloman II, Carloman II has predecessor Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Maximilian I Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Maximilian I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Antoine of Navarre, Jeanne d Albret has predecessor Antoine of Navarre The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Sviatopolk I of Kiev, Yaroslav the Wise has predecessor Sviatopolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles V of France has child Charles VI of France, Charles VI of France has predecessor Charles V of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis Bonaparte has child Napol on Louis Bonaparte, Napol on Louis Bonaparte has predecessor Louis Bonaparte The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Carloman II, Charles the Fat has predecessor Carloman II The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Bernard of Gothia, Wilfred the Hairy has predecessor Bernard of Gothia The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Afonso I of Portugal, Sancho I of Portugal has predecessor Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francis I Duke of Lorraine has child Charles III Duke of Lorraine, Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has predecessor Berenguer Ramon I Count of Barcelona The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip III of Spain has child Philip IV of Spain, Philip IV of Spain has predecessor Philip III of Spain The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has child Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Victor Amadeus I Duke of Savoy has child Francis Hyacinth Duke of Savoy, Francis Hyacinth Duke of Savoy has predecessor Victor Amadeus I Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Philip IV of France, Louis X of France has predecessor Philip IV of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis the Pious has child Lothair I, Lothair I has predecessor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis the Pious has child Louis the German, Louis the German has predecessor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis the Pious has child Pepin I of Aquitaine, Pepin I of Aquitaine has predecessor Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Charles VI of France, Charles VII of France has predecessor Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles VI of France, Henry VI of England has predecessor Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Francis II Duke of Brittany has child Anne of Brittany, Anne of Brittany has predecessor Francis II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Antoine Duke of Lorraine has child Francis I Duke of Lorraine, Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Cosimo I de Medici Grand Duke of Tuscany has child Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Cosimo de Medici, Piero di Cosimo de Medici has predecessor Cosimo de Medici The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles VI Holy Roman Emperor, Charles III of Spain has predecessor Charles VI Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis VIII of France, Louis IX of France has predecessor Louis VIII of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John II of Portugal, Manuel I of Portugal has predecessor John II of Portugal The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
James I of Scotland has child James II of Scotland, James II of Scotland has predecessor James I of Scotland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Dirk IV Count of Holland, Floris I Count of Holland has predecessor Dirk IV Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Hugh Magnus, Henry I of France has predecessor Hugh Magnus The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Joanna II of Naples, Ren  of Anjou has predecessor Joanna II of Naples The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Ernest I Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has predecessor Ernest I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip VI of France, John II of France has predecessor Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Yaropolk I of Kiev, Vladimir the Great has predecessor Yaropolk I of Kiev The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
John of Montfort has child John IV Duke of Brittany, John IV Duke of Brittany has predecessor John of Montfort The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Philip II of Spain has predecessor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Isabella Duchess of Lorraine has child John II Duke of Lorraine, John II Duke of Lorraine has predecessor Isabella Duchess of Lorraine The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Gerolf of Holland, Dirk I Count of Holland has predecessor Gerolf of Holland The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Beorhtric of Wessex, Ecgberht King of Wessex has predecessor Beorhtric of Wessex The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henri Count of Chambord, Prince Philippe Count of Paris has predecessor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Henri Count of Chambord, Louis Philippe I has predecessor Henri Count of Chambord The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Philip V of France, Charles IV of France has predecessor Philip V of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Peter I Duke of Brittany has child John I Duke of Brittany, John I Duke of Brittany has predecessor Peter I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
John II Duke of Brittany has child Arthur II Duke of Brittany, Arthur II Duke of Brittany has predecessor John II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
Louis VI of France, Louis VII of France has predecessor Louis VI of France The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Louis XVI, Louis XVII has predecessor Louis XVI The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: no
Alfred the Great has child Edward the Elder, Edward the Elder has predecessor Alfred the Great The path is classified as POSITIVE (PCA Confidence 0.5381 >= threshold 0.5) Answer: yes
