Rule 2:
If father ?a, then successor ?b.
Bernard I Duke of Brunswic L neburg, Frederick II Duke of Brunswic L neburg has father Bernard I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John I Duke of Lorraine, Frederick I Count of Vaud mont has father John I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Fulk I Count of Anjou, Fulk II Count of Anjou has father Fulk I Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francesco I Sforza, Galeazzo Maria Sforza has father Francesco I Sforza The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg, George Duke of Brunswic Calenberg has father William the Younger Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Rollo, Gerloc has father Rollo The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Bernard II Duke of Saxony, Gertrude of Saxony has father Bernard II Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Giovanni il Popolano, Giovanni delle Bande Nere has father Giovanni il Popolano The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Averardo de Medici, Giovanni di Bicci de Medici has father Averardo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Pierfrancesco the Elder, Giovanni il Popolano has father Pierfrancesco the Elder The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William I Count of Burgundy, Gisela of Burgundy Marchioness of Montferrat has father William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William I Count of Burgundy, Stephen I Count of Burgundy has father William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William I Count of Burgundy, Raymond of Burgundy has father William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Godfrey II Count of Louvain, Godfrey III Count of Louvain has father Godfrey II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Godfrey I Count of Louvain, Godfrey II Count of Louvain has father Godfrey I Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry II Count of Louvain, Godfrey I Count of Louvain has father Henry II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Isambart, Hedwig of Bavaria has father Isambart The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Ferdinand Duke of Berry, Henri Count of Chambord has father Charles Ferdinand Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry II Duke of Brabant, Henry III Duke of Brabant has father Henry II Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry II Duke of Brabant, Matilda of Brabant Countess of Artois has father Henry II Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Lambert II Count of Louvain, Henry II Count of Louvain has father Lambert II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry I Duke of Brabant, Henry II Duke of Brabant has father Henry I Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John of Gaunt has successor Henry IV of England, Henry IV of England has father John of Gaunt The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Welf I Duke of Bavaria, Henry IX Duke of Bavaria has father Welf I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Henry I Count of Champagne has father Theobald II Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Theobald II Count of Champagne, Adela of Champagne has father Theobald II Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Godfrey III Count of Louvain, Henry I Duke of Brabant has father Godfrey III Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry IX Duke of Bavaria, Henry X Duke of Bavaria has father Henry IX Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert I Duke of Burgundy, Henry son of Robert I of Burgundy has father Robert I Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has father Otto V Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Gerold of Vinzgau, Hildegard of the Vinzgau has father Gerold of Vinzgau The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II of France, Hugh Magnus has father Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert II of France has successor Henry I of France, Henry I of France has father Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Robert II of France, Robert I Duke of Burgundy has father Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert I of France, Hugh the Great has father Robert I of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Amadeus II Count of Savoy has successor Humbert II Count of Savoy, Humbert II Count of Savoy has father Amadeus II Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Pedro Fern ndez de Castro, In s de Castro has father Pedro Fern ndez de Castro The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Valdemar I of Denmark, Ingeborg of Denmark Queen of France has father Valdemar I of Denmark The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Stephen III Duke of Bavaria, Isabeau of Bavaria has father Stephen III Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Afonso I Duke of Braganza, Isabel of Barcelos has father Afonso I Duke of Braganza The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
William de Beauchamp 9th Earl of Warwick, Isabella de Beauchamp has father William de Beauchamp 9th Earl of Warwick The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John Constable of Portugal, Isabella of Portugal Queen of Castile has father John Constable of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John Constable of Portugal, Beatriz of Portugal Duchess of Viseu has father John Constable of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Patrick Hepburn 3rd Earl of Bothwell, James Hepburn 4th Earl of Bothwell has father Patrick Hepburn 3rd Earl of Bothwell The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alexander Stewart 4th High Steward of Scotland has successor James Stewart 5th High Steward of Scotland, James Stewart 5th High Steward of Scotland has father Alexander Stewart 4th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Nicholas d Oisy Lord of Avesnes, James of Avesnes has father Nicholas d Oisy Lord of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John Beaufort 1st Earl of Somerset, Joan Beaufort Queen of Scots has father John Beaufort 1st Earl of Somerset The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I Duke of Orl ans, John Count of Angoul me has father Louis I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I Duke of Orl ans has successor Charles Duke of Orl ans, Charles Duke of Orl ans has father Louis I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Stephen III of Auxonne, John Count of Chalon has father Stephen III of Auxonne The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John I Count of Hainaut, John II Count of Holland has father John I Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Bouchard IV of Avesnes, John I Count of Hainaut has father Bouchard IV of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James I Count of La Marche, John I Count of La Marche has father James I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis X of France has successor John I of France, John I of France has father Louis X of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Alan Stewart of Darnley, John Stewart 1st Earl of Lennox has father Alan Stewart of Darnley The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Matthew Stewart 2nd Earl of Lennox, John Stewart 3rd Earl of Lennox has father Matthew Stewart 2nd Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alexander Stewart of Darnley died 1404, John Stewart of Darnley has father Alexander Stewart of Darnley died 1404 The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Count of Vend me has successor John VIII Count of Vend me, John VIII Count of Vend me has father Louis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Welf father of Judith, Judith of Bavaria died 843 has father Welf father of Judith The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Welf father of Judith, Hemma has father Welf father of Judith The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Lambert I Count of Louvain, Lambert II Count of Louvain has father Lambert I Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Reginar III Count of Hainaut, Lambert I Count of Louvain has father Reginar III Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert II Duke of Austria, Leopold III Duke of Austria has father Albert II Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Brun I Count of Brunswick, Liudolf Margrave of Frisia has father Brun I Count of Brunswick The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Piero di Cosimo de Medici, Lorenzo de Medici has father Piero di Cosimo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Piero the Unfortunate, Lorenzo de Medici Duke of Urbino has father Piero the Unfortunate The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles X, Louis Antoine Duke of Angoul me has father Charles X The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles X, Charles Ferdinand Duke of Berry has father Charles X The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John I Count of La Marche, Louis Count of Vend me has father John I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John I Count of La Marche, Charlotte of Bourbon Queen of Cyprus has father John I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Otto II Duke of Bavaria, Louis II Duke of Bavaria has father Otto II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Otto I Duke of Bavaria, Louis I Duke of Bavaria has father Otto I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
