Rule 9:
If parent ?b, then predecessor ?b.
Margaret of Foix, Margaret of Foix has parent Eleanor of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Antoine Duke of Lorraine has predecessor Ren  II Duke of Lorraine, Antoine Duke of Lorraine has parent Ren  II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Hugh of Italy, Hugh of Italy has parent Bertha daughter of Lothair II The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis III of France has predecessor Louis the Stammerer, Louis III of France has parent Louis the Stammerer The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Carloman II has predecessor Louis the Stammerer, Carloman II has parent Louis the Stammerer The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Charles the Simple, Charles the Simple has parent Louis the Stammerer The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Dirk III Count of Holland, Dirk III Count of Holland has parent Lutgardis of Luxemburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Henry I of France has predecessor Robert II of France, Henry I of France has parent Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Hugh Magnus, Hugh Magnus has parent Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Robert I Duke of Burgundy, Robert I Duke of Burgundy has parent Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
James IV of Scotland, James IV of Scotland has parent James III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Hemma, Hemma has parent Welf father of Judith The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Judith of Bavaria died 843, Judith of Bavaria died 843 has parent Welf father of Judith The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has parent Adolph I Duke of Cleves The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Stephen I Count of Burgundy, Stephen I Count of Burgundy has parent William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Gisela of Burgundy Marchioness of Montferrat, Gisela of Burgundy Marchioness of Montferrat has parent William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Raymond of Burgundy, Raymond of Burgundy has parent William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has parent Jacquetta of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Constance of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan of Ponthieu Dame of Epernon, Joan of Ponthieu Dame of Epernon has parent Counts and dukes of Aumale The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Joan Beaufort Queen of Scots has parent John Beaufort 1st Earl of Somerset The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Francis II Duke of Brittany, Francis II Duke of Brittany has parent Richard Count of  tampes The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Princess Elisabeth Albertine of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has parent Ernest Frederick I Duke of Saxe Hildburghausen The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has parent Maria Theresa The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Maria Theresa The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Antoinette, Marie Antoinette has parent Maria Theresa The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria Carolina of Austria, Maria Carolina of Austria has parent Maria Theresa The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elizabeth of Bohemia 1292 1330, Elizabeth of Bohemia 1292 1330 has parent Judith of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eug nie de Montijo, Eug nie de Montijo has parent Cipriano de Palafox 8th Count of Montijo The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis XII, Louis XII has parent Marie of Cleves Duchess of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Countess Palatine Dorothea Sophie of Neuburg, Countess Palatine Dorothea Sophie of Neuburg has parent Philip William Elector Palatine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Christine of Hesse, Christine of Hesse has parent Philip I Landgrave of Hesse The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has parent Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon, Isabella of Valois Duchess of Bourbon has parent Charles Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Charlotte of Bourbon Queen of Cyprus, Charlotte of Bourbon Queen of Cyprus has parent Catherine of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Louis Count of Vend me, Louis Count of Vend me has parent Catherine of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Marie Jos phine of Savoy, Marie Jos phine of Savoy has parent Maria Antonia Ferdinanda of Spain The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Werner II Count of Habsburg, Werner II Count of Habsburg has parent Otto II Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip VI of France has predecessor Margaret Countess of Anjou, Philip VI of France has parent Margaret Countess of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has parent Margaret Countess of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joan II of Navarre, Joan II of Navarre has parent Kingdom of Navarre The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Anna of Holstei Gottorp, Anna of Holstei Gottorp has parent Christine of Hesse The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Margaret of Brieg, Margaret of Brieg has parent Louis I of Brzeg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has parent Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Joanna of Austria Grand Duchess of Tuscany, Joanna of Austria Grand Duchess of Tuscany has parent Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has parent Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has predecessor Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has parent Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Margaret of Austria Queen of Spain, Margaret of Austria Queen of Spain has parent Charles II Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Sunyer Count of Barcelona, Sunyer Count of Barcelona has parent Wilfred the Hairy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Edward II of England has predecessor Eleanor of Castile, Edward II of England has parent Eleanor of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Sancho IV of Castile has predecessor Alfonso X of Castile, Sancho IV of Castile has parent Alfonso X of Castile The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Agnes of France Duchess of Burgundy, Agnes of France Duchess of Burgundy has parent Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Philip III of France has predecessor Louis IX of France, Philip III of France has parent Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Robert Count of Clermont, Robert Count of Clermont has parent Louis IX of France The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Afonso II of Portugal has predecessor Sancho I of Portugal, Afonso II of Portugal has parent Sancho I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Humbert II Count of Savoy has predecessor Amadeus II Count of Savoy, Humbert II Count of Savoy has parent Amadeus II Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: yes
Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has parent Princess Caroline Louise of Saxe Weimar Eisenach The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Theobald III Count of Blois, Theobald III Count of Blois has parent Ermengarde of Auvergne The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Yolanda of Courtenay, Yolanda of Courtenay has parent Yolanda Latin Empress The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Eadgifu of Wessex, Eadgifu of Wessex has parent  lffl d wife of Edward the Elder The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has parent Elisabeth of Swabia The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Adelaide of Aquitaine has parent William III Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
William IV Duke of Aquitaine, William IV Duke of Aquitaine has parent William III Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Elisabeth of Nuremberg, Elisabeth of Nuremberg has parent Frederick V Burgrave of Nuremberg The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has parent Infanta Luisa Fernanda Duchess of Montpensier The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has parent Margaret I Countess of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Isabella of Hainault, Isabella of Hainault has parent Margaret I Countess of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Rudolph I of Burgundy, Rudolph I of Burgundy has parent Waldrada of Worms The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
Adelaide of Auxerre born c. 870, Adelaide of Auxerre born c. 870 has parent Waldrada of Worms The path is classified as NEGATIVE (PCA Confidence 0.4812 < threshold 0.5) Answer: no
