Rule 27:
If successor ?b, then child ?b.
Charles VI Holy Roman Emperor, Charles VI Holy Roman Emperor has successor Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy has child Victor Amadeus II of Sardinia, Charles Emmanuel II Duke of Savoy has successor Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Theobald I of Navarre has child Theobald II of Navarre, Theobald I of Navarre has successor Theobald II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles VIII of France, Charles VIII of France has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ludovico Sforza, Ludovico Sforza has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles Duke of Orl ans has child Louis XII, Charles Duke of Orl ans has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Frederick of Naples, Frederick of Naples has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip V of France, Philip V of France has successor Charles IV of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sancho I of Portugal has child Afonso II of Portugal, Sancho I of Portugal has successor Afonso II of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry IV of France has child Louis XIII, Henry IV of France has successor Louis XIII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry Count of Portugal has child Afonso I of Portugal, Henry Count of Portugal has successor Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Theresa Countess of Portugal, Theresa Countess of Portugal has successor Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry V Count of Luxembourg, Henry V Count of Luxembourg has successor Henry VI Count of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Charles V of France has child Charles VI of France, Charles V of France has successor Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Pepin of Herstal has child Grimoald the Younger, Pepin of Herstal has successor Grimoald the Younger The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Adelaide Countess of Burgundy, Adelaide Countess of Burgundy has successor Otto IV Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry II Duke of Austria, Henry II Duke of Austria has successor Henry the Lion The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Robert I Duke of Burgundy, Robert I Duke of Burgundy has successor Hugh I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Arthur II Duke of Brittany has child John III Duke of Brittany, Arthur II Duke of Brittany has successor John III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Joan Countess of Ponthieu has child Eleanor of Castile, Joan Countess of Ponthieu has successor Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Alexander Stewart 4th High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has successor James Stewart 5th High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Arthur III Duke of Brittany, Arthur III Duke of Brittany has successor Francis II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor John Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Peter II Count of Savoy, Peter II Count of Savoy has successor John I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Peter I Duke of Brittany has child John I Duke of Brittany, Peter I Duke of Brittany has successor John I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Alix Duchess of Brittany, Alix Duchess of Brittany has successor John I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
William XII Count of Auvergne, William XII Count of Auvergne has successor Joan I Countess of Auvergne The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Alderano I Cybo Malaspina, Alderano I Cybo Malaspina has successor Maria Teresa Cybo Malaspina Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Otto IV Count of Burgundy, Otto IV Count of Burgundy has successor Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Mahaut Countess of Artois, Mahaut Countess of Artois has successor Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
John I of France, John I of France has successor Philip V of France The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Ferdinand II Archduke of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
George I of Great Britain has child George II of Great Britain, George I of Great Britain has successor George II of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Floris I Count of Holland, Floris I Count of Holland has successor Dirk V Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has child Rudolf II Holy Roman Emperor, Maximilian II Holy Roman Emperor has successor Rudolf II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Joanna II of Naples, Joanna II of Naples has successor Ren  of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis XIV, Louis XIV has successor Anne of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip III of Spain has child Philip IV of Spain, Philip III of Spain has successor Philip IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis XVII, Louis XVII has successor Louis XVIII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Napoleon, Napoleon has successor Louis XVIII The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Richard I of England, Richard I of England has successor John King of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Eleanor of Aquitaine has child John King of England, Eleanor of Aquitaine has successor John King of England The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Hugh of Italy has child Lothair II of Italy, Hugh of Italy has successor Lothair II of Italy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Ladislaus of Naples, Ladislaus of Naples has successor Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis I of Anjou has child Louis II of Anjou, Louis I of Anjou has successor Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Charles II of Spain, Charles II of Spain has successor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Peter I of Portugal has child Ferdinand I of Portugal, Peter I of Portugal has successor Ferdinand I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Philibert II Duke of Savoy, Philibert II Duke of Savoy has successor Charles III Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Guillaume de Montfort of Hainaut, Guillaume de Montfort of Hainaut has successor Amaury I de Montfort The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
James IV of Scotland has child James V of Scotland, James IV of Scotland has successor James V of Scotland The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Gaston Duke of Orl ans, Gaston Duke of Orl ans has successor Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Yaropolk I of Kiev, Yaropolk I of Kiev has successor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sviatoslav I has child Vladimir the Great, Sviatoslav I has successor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis the Pious has child Lothair I, Louis the Pious has successor Lothair I The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Louis I Duke of Orl ans has child Charles Duke of Orl ans, Louis I Duke of Orl ans has successor Charles Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor has child John of Bohemia, Henry VII Holy Roman Emperor has successor John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Henry of Bohemia, Henry of Bohemia has successor John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Louis II of Hungary, Louis II of Hungary has successor Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Marie Duchess of Auvergne, Marie Duchess of Auvergne has successor Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Joanna of Castile has child Charles V Holy Roman Emperor, Joanna of Castile has successor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Maximilian I Holy Roman Emperor, Maximilian I Holy Roman Emperor has successor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Philip I of Castile, Philip I of Castile has successor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry IV of Castile, Henry IV of Castile has successor Isabella I of Castile The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Sviatopolk I of Kiev, Sviatopolk I of Kiev has successor Yaroslav the Wise The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Lothair II of Italy, Lothair II of Italy has successor Berengar II of Italy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has successor Archduchess Maria Dorothea of Austria The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
William X Duke of Aquitaine, William X Duke of Aquitaine has successor Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Henry II of Navarre, Henry II of Navarre has successor Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Antoine of Navarre, Antoine of Navarre has successor Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Berengar I of Italy, Berengar I of Italy has successor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: no
Rudolph I of Burgundy has child Rudolph II of Burgundy, Rudolph I of Burgundy has successor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
Philip IV of Spain has child Charles II of Spain, Philip IV of Spain has successor Charles II of Spain The path is classified as POSITIVE (PCA Confidence 0.5100 >= threshold 0.5) Answer: yes
