Rule 22:
If father ?b, then parent ?b.
Ernest I Duke of Brunswic L neburg has parent Henry the Middle Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has father Henry the Middle Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Fran oise Ath na s de Rochechouart Marquise de Montespan has parent Gabriel de Rochechouart de Mortemart, Fran oise Ath na s de Rochechouart Marquise de Montespan has father Gabriel de Rochechouart de Mortemart The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Fran oise d Aubign  Marquise de Maintenon has parent Constant d Aubign , Fran oise d Aubign  Marquise de Maintenon has father Constant d Aubign  The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francesco I Sforza has parent Muzio Attendolo Sforza, Francesco I Sforza has father Muzio Attendolo Sforza The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francis Count of Vend me, Francis Count of Vend me has father John VIII Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon has parent John VIII Count of Vend me, Jeanne de Bourbon Duchess of Bourbon has father John VIII Count of Vend me The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francis Duke of Anjou has parent Henry II of France, Francis Duke of Anjou has father Henry II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francis II of France, Francis II of France has father Henry II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry III of France, Henry III of France has father Henry II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Margaret of Valois has parent Henry II of France, Margaret of Valois has father Henry II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Frederick III Holy Roman Emperor has parent Ernest Duke of Austria, Frederick III Holy Roman Emperor has father Ernest Duke of Austria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Frederick II Count of Vaud mont has parent Antoine Count of Vaud mont, Frederick II Count of Vaud mont has father Antoine Count of Vaud mont The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Frederick II Duke of Brunswic L neburg has parent Bernard I Duke of Brunswic L neburg, Frederick II Duke of Brunswic L neburg has father Bernard I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Frederick I Count of Vaud mont has parent John I Duke of Lorraine, Frederick I Count of Vaud mont has father John I Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Fulk II Count of Anjou has parent Fulk I Count of Anjou, Fulk II Count of Anjou has father Fulk I Count of Anjou The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Galeazzo Maria Sforza has parent Francesco I Sforza, Galeazzo Maria Sforza has father Francesco I Sforza The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
George Duke of Brunswic Calenberg has parent William the Younger Duke of Brunswic L neburg, George Duke of Brunswic Calenberg has father William the Younger Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Gerloc, Gerloc has father Rollo The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Gertrude of Saxony, Gertrude of Saxony has father Bernard II Duke of Saxony The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Giovanni delle Bande Nere has parent Giovanni il Popolano, Giovanni delle Bande Nere has father Giovanni il Popolano The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Giovanni di Bicci de Medici has parent Averardo de Medici, Giovanni di Bicci de Medici has father Averardo de Medici The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Giovanni il Popolano, Giovanni il Popolano has father Pierfrancesco the Elder The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Gisela of Burgundy Marchioness of Montferrat has parent William I Count of Burgundy, Gisela of Burgundy Marchioness of Montferrat has father William I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Stephen I Count of Burgundy has parent William I Count of Burgundy, Stephen I Count of Burgundy has father William I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Raymond of Burgundy has parent William I Count of Burgundy, Raymond of Burgundy has father William I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Godfrey III Count of Louvain has parent Godfrey II Count of Louvain, Godfrey III Count of Louvain has father Godfrey II Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Godfrey II Count of Louvain, Godfrey II Count of Louvain has father Godfrey I Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Godfrey I Count of Louvain has parent Henry II Count of Louvain, Godfrey I Count of Louvain has father Henry II Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hedwig of Bavaria has parent Isambart, Hedwig of Bavaria has father Isambart The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henri Count of Chambord, Henri Count of Chambord has father Charles Ferdinand Duke of Berry The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry III Duke of Brabant has parent Henry II Duke of Brabant, Henry III Duke of Brabant has father Henry II Duke of Brabant The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of Brabant Countess of Artois has parent Henry II Duke of Brabant, Matilda of Brabant Countess of Artois has father Henry II Duke of Brabant The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry II Count of Louvain has parent Lambert II Count of Louvain, Henry II Count of Louvain has father Lambert II Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry II Duke of Brabant has parent Henry I Duke of Brabant, Henry II Duke of Brabant has father Henry I Duke of Brabant The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry IV of England has parent John of Gaunt, Henry IV of England has father John of Gaunt The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry IX Duke of Bavaria has parent Welf I Duke of Bavaria, Henry IX Duke of Bavaria has father Welf I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry I Count of Champagne, Henry I Count of Champagne has father Theobald II Count of Champagne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Adela of Champagne, Adela of Champagne has father Theobald II Count of Champagne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry I Duke of Brabant has parent Godfrey III Count of Louvain, Henry I Duke of Brabant has father Godfrey III Count of Louvain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry X Duke of Bavaria, Henry X Duke of Bavaria has father Henry IX Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry son of Robert I of Burgundy has parent Robert I Duke of Burgundy, Henry son of Robert I of Burgundy has father Robert I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry the Middle Duke of Brunswic L neburg has parent Otto V Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has father Otto V Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hildegard of the Vinzgau has parent Gerold of Vinzgau, Hildegard of the Vinzgau has father Gerold of Vinzgau The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hugh Magnus has parent Robert II of France, Hugh Magnus has father Robert II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry I of France has parent Robert II of France, Henry I of France has father Robert II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert I Duke of Burgundy has parent Robert II of France, Robert I Duke of Burgundy has father Robert II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Hugh the Great has parent Robert I of France, Hugh the Great has father Robert I of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Humbert II Count of Savoy has parent Amadeus II Count of Savoy, Humbert II Count of Savoy has father Amadeus II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
In s de Castro, In s de Castro has father Pedro Fern ndez de Castro The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Ingeborg of Denmark Queen of France has parent Valdemar I of Denmark, Ingeborg of Denmark Queen of France has father Valdemar I of Denmark The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Isabeau of Bavaria has parent Stephen III Duke of Bavaria, Isabeau of Bavaria has father Stephen III Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Isabel of Barcelos, Isabel of Barcelos has father Afonso I Duke of Braganza The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Isabella de Beauchamp, Isabella de Beauchamp has father William de Beauchamp 9th Earl of Warwick The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Isabella of Portugal Queen of Castile has parent John Constable of Portugal, Isabella of Portugal Queen of Castile has father John Constable of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Beatriz of Portugal Duchess of Viseu has parent John Constable of Portugal, Beatriz of Portugal Duchess of Viseu has father John Constable of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
James Hepburn 4th Earl of Bothwell has parent Patrick Hepburn 3rd Earl of Bothwell, James Hepburn 4th Earl of Bothwell has father Patrick Hepburn 3rd Earl of Bothwell The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
James Stewart 5th High Steward of Scotland has parent Alexander Stewart 4th High Steward of Scotland, James Stewart 5th High Steward of Scotland has father Alexander Stewart 4th High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
James of Avesnes has parent Nicholas d Oisy Lord of Avesnes, James of Avesnes has father Nicholas d Oisy Lord of Avesnes The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joan Beaufort Queen of Scots has parent John Beaufort 1st Earl of Somerset, Joan Beaufort Queen of Scots has father John Beaufort 1st Earl of Somerset The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John Count of Angoul me has parent Louis I Duke of Orl ans, John Count of Angoul me has father Louis I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles Duke of Orl ans, Charles Duke of Orl ans has father Louis I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
John Count of Chalon has parent Stephen III of Auxonne, John Count of Chalon has father Stephen III of Auxonne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John II Count of Holland has parent John I Count of Hainaut, John II Count of Holland has father John I Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
