Rule 18:
If successor ?a, then parent ?b.
Victor Amadeus II of Sardinia has parent Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has successor Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Theobald II of Navarre, Theobald I of Navarre has successor Theobald II of Navarre The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XII, Charles VIII of France has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XII, Ludovico Sforza has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XII has parent Charles Duke of Orl ans, Charles Duke of Orl ans has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis XII, Frederick of Naples has successor Louis XII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles IV of France, Philip V of France has successor Charles IV of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Afonso II of Portugal has parent Sancho I of Portugal, Sancho I of Portugal has successor Afonso II of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Louis XIII has parent Henry IV of France, Henry IV of France has successor Louis XIII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Afonso I of Portugal has parent Henry Count of Portugal, Henry Count of Portugal has successor Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Afonso I of Portugal has parent Theresa Countess of Portugal, Theresa Countess of Portugal has successor Afonso I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry VI Count of Luxembourg, Henry V Count of Luxembourg has successor Henry VI Count of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles VI of France has parent Charles V of France, Charles V of France has successor Charles VI of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Grimoald the Younger, Pepin of Herstal has successor Grimoald the Younger The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Otto IV Count of Burgundy has parent Adelaide Countess of Burgundy, Adelaide Countess of Burgundy has successor Otto IV Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Henry the Lion, Henry II Duke of Austria has successor Henry the Lion The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Hugh I Duke of Burgundy, Robert I Duke of Burgundy has successor Hugh I Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John III Duke of Brittany, Arthur II Duke of Brittany has successor John III Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Eleanor of Castile has parent Joan Countess of Ponthieu, Joan Countess of Ponthieu has successor Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
James Stewart 5th High Steward of Scotland has parent Alexander Stewart 4th High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has successor James Stewart 5th High Steward of Scotland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Francis II Duke of Brittany, Arthur III Duke of Brittany has successor Francis II Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor John Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John I Duke of Brittany, Peter II Count of Savoy has successor John I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John I Duke of Brittany has parent Peter I Duke of Brittany, Peter I Duke of Brittany has successor John I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
John I Duke of Brittany has parent Alix Duchess of Brittany, Alix Duchess of Brittany has successor John I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Joan I Countess of Auvergne has parent William XII Count of Auvergne, William XII Count of Auvergne has successor Joan I Countess of Auvergne The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Maria Teresa Cybo Malaspina Duchess of Massa, Alderano I Cybo Malaspina has successor Maria Teresa Cybo Malaspina Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Joan II Countess of Burgundy has parent Otto IV Count of Burgundy, Otto IV Count of Burgundy has successor Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Joan II Countess of Burgundy has parent Mahaut Countess of Artois, Mahaut Countess of Artois has successor Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip V of France, John I of France has successor Philip V of France The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand II Archduke of Austria, Ferdinand I Holy Roman Emperor has successor Ferdinand II Archduke of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
George II of Great Britain has parent George I of Great Britain, George I of Great Britain has successor George II of Great Britain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Dirk V Count of Holland, Floris I Count of Holland has successor Dirk V Count of Holland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Rudolf II Holy Roman Emperor, Maximilian II Holy Roman Emperor has successor Rudolf II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ren  of Anjou, Joanna II of Naples has successor Ren  of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Anne of Austria, Louis XIV has successor Anne of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Philip IV of Spain, Philip III of Spain has successor Philip IV of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XVIII, Louis XVII has successor Louis XVIII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis XVIII, Napoleon has successor Louis XVIII The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John King of England, Richard I of England has successor John King of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John King of England has parent Eleanor of Aquitaine, Eleanor of Aquitaine has successor John King of England The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Lothair II of Italy, Hugh of Italy has successor Lothair II of Italy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis II of Anjou, Ladislaus of Naples has successor Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Louis II of Anjou has parent Louis I of Anjou, Louis I of Anjou has successor Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philip V of Spain, Charles II of Spain has successor Philip V of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand I of Portugal, Peter I of Portugal has successor Ferdinand I of Portugal The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles III Duke of Savoy, Philibert II Duke of Savoy has successor Charles III Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Amaury I de Montfort has parent Guillaume de Montfort of Hainaut, Guillaume de Montfort of Hainaut has successor Amaury I de Montfort The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
James V of Scotland has parent James IV of Scotland, James IV of Scotland has successor James V of Scotland The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Philippe I Duke of Orl ans, Gaston Duke of Orl ans has successor Philippe I Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Vladimir the Great, Yaropolk I of Kiev has successor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Vladimir the Great has parent Sviatoslav I, Sviatoslav I has successor Vladimir the Great The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Lothair I, Louis the Pious has successor Lothair I The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles Duke of Orl ans, Louis I Duke of Orl ans has successor Charles Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John of Bohemia, Henry VII Holy Roman Emperor has successor John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
John of Bohemia, Henry of Bohemia has successor John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Louis II of Hungary has successor Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Marie Duchess of Auvergne has successor Agnes of Burgundy Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Joanna of Castile has successor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Maximilian I Holy Roman Emperor has successor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor has parent Philip I of Castile, Philip I of Castile has successor Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Isabella I of Castile, Henry IV of Castile has successor Isabella I of Castile The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Yaroslav the Wise, Sviatopolk I of Kiev has successor Yaroslav the Wise The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Berengar II of Italy, Lothair II of Italy has successor Berengar II of Italy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Archduchess Maria Dorothea of Austria, Princess Marie Isabelle of Orl ans has successor Archduchess Maria Dorothea of Austria The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Eleanor of Aquitaine has parent William X Duke of Aquitaine, William X Duke of Aquitaine has successor Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Jeanne d Albret has parent Henry II of Navarre, Henry II of Navarre has successor Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: yes
Jeanne d Albret, Antoine of Navarre has successor Jeanne d Albret The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Rudolph II of Burgundy, Berengar I of Italy has successor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Rudolph II of Burgundy, Rudolph I of Burgundy has successor Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
Charles II of Spain, Philip IV of Spain has successor Charles II of Spain The path is classified as POSITIVE (PCA Confidence 0.5280 >= threshold 0.5) Answer: no
