Rule 28:
If parent ?a, then child ?b.
Henry III of England has child Edward I of England, Edward I of England has parent Henry III of England The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Patrick de Chaworth Lord of Kidwelly, Maud Chaworth has parent Patrick de Chaworth Lord of Kidwelly The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has child Elisabeth of Austria Queen of France, Elisabeth of Austria Queen of France has parent Maximilian II Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Reginar III Count of Hainaut, Lambert I Count of Louvain has parent Reginar III Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Navarre has child Margaret of Foix, Margaret of Foix has parent Eleanor of Navarre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ren  II Duke of Lorraine has child Antoine Duke of Lorraine, Antoine Duke of Lorraine has parent Ren  II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Bertha daughter of Lothair II, Hugh of Italy has parent Bertha daughter of Lothair II The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis the Stammerer has child Louis III of France, Louis III of France has parent Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Carloman II, Carloman II has parent Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Charles the Simple, Charles the Simple has parent Louis the Stammerer The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Lutgardis of Luxemburg, Dirk III Count of Holland has parent Lutgardis of Luxemburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert II of France has child Henry I of France, Henry I of France has parent Robert II of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Robert II of France has child Hugh Magnus, Hugh Magnus has parent Robert II of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Robert II of France has child Robert I Duke of Burgundy, Robert I Duke of Burgundy has parent Robert II of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
James III of Scotland has child James IV of Scotland, James IV of Scotland has parent James III of Scotland The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Welf father of Judith, Hemma has parent Welf father of Judith The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Welf father of Judith, Judith of Bavaria died 843 has parent Welf father of Judith The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adolph I Duke of Cleves, Marie of Cleves Duchess of Orl ans has parent Adolph I Duke of Cleves The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I Count of Burgundy, Stephen I Count of Burgundy has parent William I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I Count of Burgundy, Gisela of Burgundy Marchioness of Montferrat has parent William I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I Count of Burgundy, Raymond of Burgundy has parent William I Count of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Jacquetta of Luxembourg has child Elizabeth Woodville, Elizabeth Woodville has parent Jacquetta of Luxembourg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Constance of Castile has child Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Constance of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Counts and dukes of Aumale, Joan of Ponthieu Dame of Epernon has parent Counts and dukes of Aumale The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John Beaufort 1st Earl of Somerset, Joan Beaufort Queen of Scots has parent John Beaufort 1st Earl of Somerset The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richard Count of  tampes has child Francis II Duke of Brittany, Francis II Duke of Brittany has parent Richard Count of  tampes The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ernest Frederick I Duke of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has parent Ernest Frederick I Duke of Saxe Hildburghausen The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Theresa, Leopold II Holy Roman Emperor has parent Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Theresa has child Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Theresa has child Marie Antoinette, Marie Antoinette has parent Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Theresa, Maria Carolina of Austria has parent Maria Theresa The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Judith of Habsburg, Elizabeth of Bohemia 1292 1330 has parent Judith of Habsburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Cipriano de Palafox 8th Count of Montijo, Eug nie de Montijo has parent Cipriano de Palafox 8th Count of Montijo The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans has child Louis XII, Louis XII has parent Marie of Cleves Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip William Elector Palatine, Countess Palatine Dorothea Sophie of Neuburg has parent Philip William Elector Palatine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip I Landgrave of Hesse, Christine of Hesse has parent Philip I Landgrave of Hesse The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Valois, Joan of Valois Countess of Hainaut has parent Charles Count of Valois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Valois has child Isabella of Valois Duchess of Bourbon, Isabella of Valois Duchess of Bourbon has parent Charles Count of Valois The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Catherine of Vend me, Charlotte of Bourbon Queen of Cyprus has parent Catherine of Vend me The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Catherine of Vend me, Louis Count of Vend me has parent Catherine of Vend me The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Marie Jos phine of Savoy has parent Maria Antonia Ferdinanda of Spain The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Otto II Count of Habsburg, Werner II Count of Habsburg has parent Otto II Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret Countess of Anjou has child Philip VI of France, Philip VI of France has parent Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou has child Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has parent Margaret Countess of Anjou The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Kingdom of Navarre, Joan II of Navarre has parent Kingdom of Navarre The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Christine of Hesse, Anna of Holstei Gottorp has parent Christine of Hesse The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis I of Brzeg, Margaret of Brieg has parent Louis I of Brzeg The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has parent Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Joanna of Austria Grand Duchess of Tuscany has parent Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Archduchess Anna of Austria, Archduchess Anna of Austria has parent Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has parent Ferdinand I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles II Archduke of Austria, Margaret of Austria Queen of Spain has parent Charles II Archduke of Austria The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Wilfred the Hairy, Sunyer Count of Barcelona has parent Wilfred the Hairy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Castile, Edward II of England has parent Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfonso X of Castile has child Sancho IV of Castile, Sancho IV of Castile has parent Alfonso X of Castile The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis IX of France has child Agnes of France Duchess of Burgundy, Agnes of France Duchess of Burgundy has parent Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis IX of France has child Philip III of France, Philip III of France has parent Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis IX of France has child Robert Count of Clermont, Robert Count of Clermont has parent Louis IX of France The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Sancho I of Portugal has child Afonso II of Portugal, Afonso II of Portugal has parent Sancho I of Portugal The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Amadeus II Count of Savoy, Humbert II Count of Savoy has parent Amadeus II Count of Savoy The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Princess Caroline Louise of Saxe Weimar Eisenach has child Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has parent Princess Caroline Louise of Saxe Weimar Eisenach The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ermengarde of Auvergne, Theobald III Count of Blois has parent Ermengarde of Auvergne The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Yolanda Latin Empress has child Yolanda of Courtenay, Yolanda of Courtenay has parent Yolanda Latin Empress The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
 lffl d wife of Edward the Elder has child Eadgifu of Wessex, Eadgifu of Wessex has parent  lffl d wife of Edward the Elder The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Elisabeth of Swabia, Alfonso X of Castile has parent Elisabeth of Swabia The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William III Duke of Aquitaine, Adelaide of Aquitaine has parent William III Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William III Duke of Aquitaine, William IV Duke of Aquitaine has parent William III Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
