Rule 10:
If father ?b, then predecessor ?b.
Frederick II Duke of Brunswic L neburg, Frederick II Duke of Brunswic L neburg has father Bernard I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Frederick I Count of Vaud mont, Frederick I Count of Vaud mont has father John I Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Fulk II Count of Anjou, Fulk II Count of Anjou has father Fulk I Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Galeazzo Maria Sforza has predecessor Francesco I Sforza, Galeazzo Maria Sforza has father Francesco I Sforza The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
George Duke of Brunswic Calenberg, George Duke of Brunswic Calenberg has father William the Younger Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Gerloc, Gerloc has father Rollo The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Gertrude of Saxony, Gertrude of Saxony has father Bernard II Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Giovanni delle Bande Nere, Giovanni delle Bande Nere has father Giovanni il Popolano The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Giovanni di Bicci de Medici, Giovanni di Bicci de Medici has father Averardo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Giovanni il Popolano, Giovanni il Popolano has father Pierfrancesco the Elder The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Gisela of Burgundy Marchioness of Montferrat, Gisela of Burgundy Marchioness of Montferrat has father William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Stephen I Count of Burgundy, Stephen I Count of Burgundy has father William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Raymond of Burgundy, Raymond of Burgundy has father William I Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Godfrey III Count of Louvain, Godfrey III Count of Louvain has father Godfrey II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Godfrey II Count of Louvain, Godfrey II Count of Louvain has father Godfrey I Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Godfrey I Count of Louvain, Godfrey I Count of Louvain has father Henry II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hedwig of Bavaria, Hedwig of Bavaria has father Isambart The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henri Count of Chambord, Henri Count of Chambord has father Charles Ferdinand Duke of Berry The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry III Duke of Brabant, Henry III Duke of Brabant has father Henry II Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of Brabant Countess of Artois, Matilda of Brabant Countess of Artois has father Henry II Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry II Count of Louvain, Henry II Count of Louvain has father Lambert II Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry II Duke of Brabant, Henry II Duke of Brabant has father Henry I Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry IV of England has predecessor John of Gaunt, Henry IV of England has father John of Gaunt The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Henry IX Duke of Bavaria, Henry IX Duke of Bavaria has father Welf I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry I Count of Champagne, Henry I Count of Champagne has father Theobald II Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adela of Champagne, Adela of Champagne has father Theobald II Count of Champagne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry I Duke of Brabant, Henry I Duke of Brabant has father Godfrey III Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry X Duke of Bavaria, Henry X Duke of Bavaria has father Henry IX Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Henry son of Robert I of Burgundy has father Robert I Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry the Middle Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has father Otto V Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hildegard of the Vinzgau, Hildegard of the Vinzgau has father Gerold of Vinzgau The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hugh Magnus, Hugh Magnus has father Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry I of France has predecessor Robert II of France, Henry I of France has father Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Robert I Duke of Burgundy, Robert I Duke of Burgundy has father Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hugh the Great, Hugh the Great has father Robert I of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Humbert II Count of Savoy has predecessor Amadeus II Count of Savoy, Humbert II Count of Savoy has father Amadeus II Count of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
In s de Castro, In s de Castro has father Pedro Fern ndez de Castro The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has father Valdemar I of Denmark The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabeau of Bavaria, Isabeau of Bavaria has father Stephen III Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabel of Barcelos, Isabel of Barcelos has father Afonso I Duke of Braganza The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella de Beauchamp, Isabella de Beauchamp has father William de Beauchamp 9th Earl of Warwick The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Isabella of Portugal Queen of Castile, Isabella of Portugal Queen of Castile has father John Constable of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Beatriz of Portugal Duchess of Viseu, Beatriz of Portugal Duchess of Viseu has father John Constable of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James Hepburn 4th Earl of Bothwell, James Hepburn 4th Earl of Bothwell has father Patrick Hepburn 3rd Earl of Bothwell The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James Stewart 5th High Steward of Scotland, James Stewart 5th High Steward of Scotland has father Alexander Stewart 4th High Steward of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
James of Avesnes, James of Avesnes has father Nicholas d Oisy Lord of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, Joan Beaufort Queen of Scots has father John Beaufort 1st Earl of Somerset The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John Count of Angoul me, John Count of Angoul me has father Louis I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles Duke of Orl ans, Charles Duke of Orl ans has father Louis I Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John Count of Chalon, John Count of Chalon has father Stephen III of Auxonne The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John II Count of Holland, John II Count of Holland has father John I Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I Count of Hainaut, John I Count of Hainaut has father Bouchard IV of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I Count of La Marche, John I Count of La Marche has father James I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I of France has predecessor Louis X of France, John I of France has father Louis X of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
John Stewart 1st Earl of Lennox, John Stewart 1st Earl of Lennox has father Alan Stewart of Darnley The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John Stewart 3rd Earl of Lennox, John Stewart 3rd Earl of Lennox has father Matthew Stewart 2nd Earl of Lennox The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John Stewart of Darnley, John Stewart of Darnley has father Alexander Stewart of Darnley died 1404 The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John VIII Count of Vend me has predecessor Louis Count of Vend me, John VIII Count of Vend me has father Louis Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Judith of Bavaria died 843, Judith of Bavaria died 843 has father Welf father of Judith The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Hemma, Hemma has father Welf father of Judith The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Lambert II Count of Louvain, Lambert II Count of Louvain has father Lambert I Count of Louvain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Lambert I Count of Louvain, Lambert I Count of Louvain has father Reginar III Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Leopold III Duke of Austria, Leopold III Duke of Austria has father Albert II Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Liudolf Margrave of Frisia, Liudolf Margrave of Frisia has father Brun I Count of Brunswick The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Lorenzo de Medici has predecessor Piero di Cosimo de Medici, Lorenzo de Medici has father Piero di Cosimo de Medici The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Lorenzo de Medici Duke of Urbino, Lorenzo de Medici Duke of Urbino has father Piero the Unfortunate The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Antoine Duke of Angoul me has predecessor Charles X, Louis Antoine Duke of Angoul me has father Charles X The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Charles Ferdinand Duke of Berry, Charles Ferdinand Duke of Berry has father Charles X The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis Count of Vend me, Louis Count of Vend me has father John I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charlotte of Bourbon Queen of Cyprus, Charlotte of Bourbon Queen of Cyprus has father John I Count of La Marche The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis II Duke of Bavaria, Louis II Duke of Bavaria has father Otto II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
