Rule 25:
If mother ?a, then child ?b.
Ren e of Bourbon, Francis I Duke of Lorraine has mother Ren e of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Ren e of Bourbon, Nicolas Duke of Merc ur has mother Ren e of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Douce I Countess of Provence, Ramon Berenguer IV Count of Barcelona has mother Douce I Countess of Provence The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Douce I Countess of Provence, Berengaria of Barcelona has mother Douce I Countess of Provence The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Willa of Tuscany has child Rozala of Italy, Rozala of Italy has mother Willa of Tuscany The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Margaret of Saxony Duchess of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has mother Margaret of Saxony Duchess of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Gerloc, Adelaide of Aquitaine has mother Gerloc The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Gerloc, William IV Duke of Aquitaine has mother Gerloc The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anne of Bohemia and Hungary has child Archduchess Anna of Austria, Archduchess Anna of Austria has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Bohemia and Hungary has child Joanna of Austria Grand Duchess of Tuscany, Joanna of Austria Grand Duchess of Tuscany has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Bohemia and Hungary has child Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Bohemia and Hungary has child Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has mother Anne of Bohemia and Hungary The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Amicie de Courtenay, Mahaut Countess of Artois has mother Amicie de Courtenay The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia has child Maria Beatrice of Savoy, Maria Beatrice of Savoy has mother Maria Theresa of Austria Este Queen of Sardinia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Beatrice d Este Duchess of Massa has child Maria Theresa of Austria Este Queen of Sardinia, Maria Theresa of Austria Este Queen of Sardinia has mother Maria Beatrice d Este Duchess of Massa The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Clementia of Hungary has child John I of France, John I of France has mother Clementia of Hungary The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elisabeth Christine of Brunswic Wolfenb ttel has child Maria Theresa, Maria Theresa has mother Elisabeth Christine of Brunswic Wolfenb ttel The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maud FitzJohn Countess of Warwick, Isabella de Beauchamp has mother Maud FitzJohn Countess of Warwick The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabella of Portugal Queen of Castile, Isabella I of Castile has mother Isabella of Portugal Queen of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Barbara Jagiellon has child Christine of Saxony, Christine of Saxony has mother Barbara Jagiellon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Empress Matilda has child Henry II of England, Henry II of England has mother Empress Matilda The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Anna Victoria of Bavaria, Philip V of Spain has mother Maria Anna Victoria of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Anna Victoria of Bavaria, Louis Duke of Burgundy has mother Maria Anna Victoria of Bavaria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier has child Princess Marie Isabelle of Orl ans, Princess Marie Isabelle of Orl ans has mother Infanta Luisa Fernanda Duchess of Montpensier The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine has child John King of England, John King of England has mother Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine has child Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has mother Eleanor of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan Beaufort Queen of Scots, Margaret Stewart Dauphine of France has mother Joan Beaufort Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Joan Beaufort Queen of Scots, James II of Scotland has mother Joan Beaufort Queen of Scots The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Teresa Felicitas d Este has child Louise Marie Ad la de de Bourbon Duchess of Orl ans, Louise Marie Ad la de de Bourbon Duchess of Orl ans has mother Maria Teresa Felicitas d Este The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan II Countess of Burgundy has child Joan III Countess of Burgundy, Joan III Countess of Burgundy has mother Joan II Countess of Burgundy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Berengaria of Barcelona, Ferdinand II of Le n has mother Berengaria of Barcelona The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Portugal Holy Roman Empress, Maximilian I Holy Roman Emperor has mother Eleanor of Portugal Holy Roman Empress The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Joinville, Antoine Count of Vaud mont has mother Margaret of Joinville The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Helena of Denmark, Otto I Duke of Brunswic L neburg has mother Helena of Denmark The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Valentina Visconti Duchess of Orl ans, Charles Duke of Orl ans has mother Valentina Visconti Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Richilde Countess of Hainaut, Baldwin II Count of Hainaut has mother Richilde Countess of Hainaut The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Louise of Savoy has child Margaret of Valois Angoul me, Margaret of Valois Angoul me has mother Louise of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan of Ponthieu Dame of Epernon, Catherine of Vend me has mother Joan of Ponthieu Dame of Epernon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Catherine de Medici has child Margaret of Valois, Margaret of Valois has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Catherine de Medici has child Henry III of France, Henry III of France has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Catherine de Medici has child Charles IX of France, Charles IX of France has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Catherine de Medici has child Francis II of France, Francis II of France has mother Catherine de Medici The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie of Anjou has child Louis XI, Louis XI has mother Marie of Anjou The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne Gonzaga has child Benedicta Henrietta of the Palatinate, Benedicta Henrietta of the Palatinate has mother Anne Gonzaga The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella of Aragon Queen of France has child Charles Count of Valois, Charles Count of Valois has mother Isabella of Aragon Queen of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Sibylla of Anjou has child Margaret I Countess of Flanders, Margaret I Countess of Flanders has mother Sibylla of Anjou The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elisabeth Farnese has child Maria Antonia Ferdinanda of Spain, Maria Antonia Ferdinanda of Spain has mother Elisabeth Farnese The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elisabeth Farnese has child Charles III of Spain, Charles III of Spain has mother Elisabeth Farnese The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Lady Margaret Beaufort, Henry VII of England has mother Lady Margaret Beaufort The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon, Madeleine de La Tour d Auvergne has mother Jeanne de Bourbon Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adela of France, Baldwin VI Count of Flanders has mother Adela of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Judith of Flanders died 1095, Henry IX Duke of Bavaria has mother Judith of Flanders died 1095 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie Countess of Ponthieu, Joan Countess of Ponthieu has mother Marie Countess of Ponthieu The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Gerberga of M con, Otto William Count of Burgundy has mother Gerberga of M con The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Duchess Helene of Mecklenburg Schwerin has child Prince Philippe Count of Paris, Prince Philippe Count of Paris has mother Duchess Helene of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Kiev, Philip I of France has mother Anne of Kiev The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Isabella of Valois Duchess of Bourbon, Joanna of Bourbon has mother Isabella of Valois Duchess of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Beatrice of Silesia, Stephen II Duke of Bavaria has mother Beatrice of Silesia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Agnes of Loon, Louis I Duke of Bavaria has mother Agnes of Loon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Joanna of Castile has child Eleanor of Austria, Eleanor of Austria has mother Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joanna of Castile has child Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has mother Joanna of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Beatrice Regina della Scala, Taddea Visconti has mother Beatrice Regina della Scala The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Joanna of Bourbon has child Charles VI of France, Charles VI of France has mother Joanna of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joanna of Bourbon has child Louis I Duke of Orl ans, Louis I Duke of Orl ans has mother Joanna of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Louise Marie Ad la de de Bourbon Duchess of Orl ans has child Louis Philippe I, Louis Philippe I has mother Louise Marie Ad la de de Bourbon Duchess of Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
