Rule 11:
If successor ?a, then predecessor ?b.
Louis IV Holy Roman Emperor has predecessor Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has successor Louis IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis IV Holy Roman Emperor has predecessor Rudolf I Duke of Bavaria, Rudolf I Duke of Bavaria has successor Louis IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Canute VI of Denmark has predecessor Valdemar I of Denmark, Valdemar I of Denmark has successor Canute VI of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor, Henry VI Count of Luxembourg has successor Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Henry VII Holy Roman Emperor has predecessor Conrad IV of Germany, Conrad IV of Germany has successor Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis Philippe I Duke of Orl ans has predecessor Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Robert I Duke of Burgundy, Henry I of France has successor Robert I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Alfonso VIII of Castile has predecessor Sancho III of Castile, Sancho III of Castile has successor Alfonso VIII of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Hugh of Italy has predecessor Rudolph II of Burgundy, Rudolph II of Burgundy has successor Hugh of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles Martel has predecessor Pepin of Herstal, Pepin of Herstal has successor Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles Martel, Ragenfrid has successor Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Charles Martel has predecessor Theudoald, Theudoald has successor Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Afonso III of Portugal, Sancho II of Portugal has successor Afonso III of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Sviatoslav I has predecessor Olga of Kiev, Olga of Kiev has successor Sviatoslav I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia, Charles VI Holy Roman Emperor has successor Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Charles Emmanuel II Duke of Savoy has successor Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Theobald II of Navarre, Theobald I of Navarre has successor Theobald II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis XII, Charles VIII of France has successor Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis XII has predecessor Ludovico Sforza, Ludovico Sforza has successor Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XII has predecessor Charles Duke of Orl ans, Charles Duke of Orl ans has successor Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XII has predecessor Frederick of Naples, Frederick of Naples has successor Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles IV of France has predecessor Philip V of France, Philip V of France has successor Charles IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Afonso II of Portugal has predecessor Sancho I of Portugal, Sancho I of Portugal has successor Afonso II of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XIII, Henry IV of France has successor Louis XIII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Afonso I of Portugal, Henry Count of Portugal has successor Afonso I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Afonso I of Portugal has predecessor Theresa Countess of Portugal, Theresa Countess of Portugal has successor Afonso I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Henry VI Count of Luxembourg has predecessor Henry V Count of Luxembourg, Henry V Count of Luxembourg has successor Henry VI Count of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles VI of France has predecessor Charles V of France, Charles V of France has successor Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Grimoald the Younger has predecessor Pepin of Herstal, Pepin of Herstal has successor Grimoald the Younger. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Otto IV Count of Burgundy, Adelaide Countess of Burgundy has successor Otto IV Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Henry the Lion, Henry II Duke of Austria has successor Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Hugh I Duke of Burgundy has predecessor Robert I Duke of Burgundy, Robert I Duke of Burgundy has successor Hugh I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John III Duke of Brittany, Arthur II Duke of Brittany has successor John III Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Eleanor of Castile has predecessor Joan Countess of Ponthieu, Joan Countess of Ponthieu has successor Eleanor of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
James Stewart 5th High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has successor James Stewart 5th High Steward of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Francis II Duke of Brittany has predecessor Arthur III Duke of Brittany, Arthur III Duke of Brittany has successor Francis II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor John Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
John I Duke of Brittany has predecessor Peter II Count of Savoy, Peter II Count of Savoy has successor John I Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John I Duke of Brittany has predecessor Peter I Duke of Brittany, Peter I Duke of Brittany has successor John I Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John I Duke of Brittany has predecessor Alix Duchess of Brittany, Alix Duchess of Brittany has successor John I Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joan I Countess of Auvergne has predecessor William XII Count of Auvergne, William XII Count of Auvergne has successor Joan I Countess of Auvergne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Maria Teresa Cybo Malaspina Duchess of Massa has predecessor Alderano I Cybo Malaspina, Alderano I Cybo Malaspina has successor Maria Teresa Cybo Malaspina Duchess of Massa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Joan II Countess of Burgundy, Otto IV Count of Burgundy has successor Joan II Countess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Joan II Countess of Burgundy has predecessor Mahaut Countess of Artois, Mahaut Countess of Artois has successor Joan II Countess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip V of France has predecessor John I of France, John I of France has successor Philip V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has successor Ferdinand II Archduke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
George II of Great Britain has predecessor George I of Great Britain, George I of Great Britain has successor George II of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Dirk V Count of Holland has predecessor Floris I Count of Holland, Floris I Count of Holland has successor Dirk V Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Rudolf II Holy Roman Emperor has predecessor Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has successor Rudolf II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ren  of Anjou has predecessor Joanna II of Naples, Joanna II of Naples has successor Ren  of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Anne of Austria, Louis XIV has successor Anne of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Philip IV of Spain has predecessor Philip III of Spain, Philip III of Spain has successor Philip IV of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XVIII has predecessor Louis XVII, Louis XVII has successor Louis XVIII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis XVIII has predecessor Napoleon, Napoleon has successor Louis XVIII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John King of England has predecessor Richard I of England, Richard I of England has successor John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
John King of England has predecessor Eleanor of Aquitaine, Eleanor of Aquitaine has successor John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Lothair II of Italy has predecessor Hugh of Italy, Hugh of Italy has successor Lothair II of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Louis II of Anjou, Ladislaus of Naples has successor Louis II of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: no
Louis II of Anjou has predecessor Louis I of Anjou, Louis I of Anjou has successor Louis II of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Philip V of Spain has predecessor Charles II of Spain, Charles II of Spain has successor Philip V of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Ferdinand I of Portugal has predecessor Peter I of Portugal, Peter I of Portugal has successor Ferdinand I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
Charles III Duke of Savoy has predecessor Philibert II Duke of Savoy, Philibert II Duke of Savoy has successor Charles III Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9371 >= threshold 0.5) Answer: yes
