Rule 28:
If parent ?a, then child ?b.
Joan I of Navarre has child Charles IV of France, Charles IV of France has parent Joan I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Joan I of Navarre has child Isabella of France, Isabella of France has parent Joan I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Joan I of Navarre has child Louis X of France, Louis X of France has parent Joan I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has parent Otto I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Baldwin VI Count of Flanders, Baldwin II Count of Hainaut has parent Baldwin VI Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
James I of Scotland has child Margaret Stewart Dauphine of France, Margaret Stewart Dauphine of France has parent James I of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry III of England has child Beatrice of England, Beatrice of England has parent Henry III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry III of England has child Edward I of England, Edward I of England has parent Henry III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Patrick de Chaworth Lord of Kidwelly, Maud Chaworth has parent Patrick de Chaworth Lord of Kidwelly. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maximilian II Holy Roman Emperor has child Elisabeth of Austria Queen of France, Elisabeth of Austria Queen of France has parent Maximilian II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Reginar III Count of Hainaut, Lambert I Count of Louvain has parent Reginar III Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Navarre has child Margaret of Foix, Margaret of Foix has parent Eleanor of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ren  II Duke of Lorraine has child Antoine Duke of Lorraine, Antoine Duke of Lorraine has parent Ren  II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Bertha daughter of Lothair II, Hugh of Italy has parent Bertha daughter of Lothair II. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis the Stammerer has child Louis III of France, Louis III of France has parent Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Carloman II, Carloman II has parent Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Charles the Simple, Charles the Simple has parent Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Lutgardis of Luxemburg, Dirk III Count of Holland has parent Lutgardis of Luxemburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Robert II of France has child Henry I of France, Henry I of France has parent Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Robert II of France has child Hugh Magnus, Hugh Magnus has parent Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Robert II of France has child Robert I Duke of Burgundy, Robert I Duke of Burgundy has parent Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
James III of Scotland has child James IV of Scotland, James IV of Scotland has parent James III of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Welf father of Judith, Hemma has parent Welf father of Judith. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Welf father of Judith, Judith of Bavaria died 843 has parent Welf father of Judith. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Adolph I Duke of Cleves, Marie of Cleves Duchess of Orl ans has parent Adolph I Duke of Cleves. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I Count of Burgundy, Stephen I Count of Burgundy has parent William I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I Count of Burgundy, Gisela of Burgundy Marchioness of Montferrat has parent William I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
William I Count of Burgundy, Raymond of Burgundy has parent William I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Jacquetta of Luxembourg has child Elizabeth Woodville, Elizabeth Woodville has parent Jacquetta of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Constance of Castile has child Alys of France Countess of Vexin, Alys of France Countess of Vexin has parent Constance of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Counts and dukes of Aumale, Joan of Ponthieu Dame of Epernon has parent Counts and dukes of Aumale. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John Beaufort 1st Earl of Somerset, Joan Beaufort Queen of Scots has parent John Beaufort 1st Earl of Somerset. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Richard Count of  tampes has child Francis II Duke of Brittany, Francis II Duke of Brittany has parent Richard Count of  tampes. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ernest Frederick I Duke of Saxe Hildburghausen, Princess Elisabeth Albertine of Saxe Hildburghausen has parent Ernest Frederick I Duke of Saxe Hildburghausen. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Theresa, Leopold II Holy Roman Emperor has parent Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Theresa has child Ferdinand Karl Archduke of Austria Este, Ferdinand Karl Archduke of Austria Este has parent Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Theresa has child Marie Antoinette, Marie Antoinette has parent Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Maria Theresa, Maria Carolina of Austria has parent Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Judith of Habsburg, Elizabeth of Bohemia 1292 1330 has parent Judith of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Cipriano de Palafox 8th Count of Montijo, Eug nie de Montijo has parent Cipriano de Palafox 8th Count of Montijo. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans has child Louis XII, Louis XII has parent Marie of Cleves Duchess of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philip William Elector Palatine, Countess Palatine Dorothea Sophie of Neuburg has parent Philip William Elector Palatine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Philip I Landgrave of Hesse, Christine of Hesse has parent Philip I Landgrave of Hesse. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Valois, Joan of Valois Countess of Hainaut has parent Charles Count of Valois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Count of Valois has child Isabella of Valois Duchess of Bourbon, Isabella of Valois Duchess of Bourbon has parent Charles Count of Valois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Catherine of Vend me, Charlotte of Bourbon Queen of Cyprus has parent Catherine of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Catherine of Vend me, Louis Count of Vend me has parent Catherine of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Marie Jos phine of Savoy has parent Maria Antonia Ferdinanda of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Otto II Count of Habsburg, Werner II Count of Habsburg has parent Otto II Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret Countess of Anjou has child Philip VI of France, Philip VI of France has parent Margaret Countess of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Margaret Countess of Anjou has child Joan of Valois Countess of Hainaut, Joan of Valois Countess of Hainaut has parent Margaret Countess of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Kingdom of Navarre, Joan II of Navarre has parent Kingdom of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Christine of Hesse, Anna of Holstei Gottorp has parent Christine of Hesse. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis I of Brzeg, Margaret of Brieg has parent Louis I of Brzeg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has parent Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Joanna of Austria Grand Duchess of Tuscany has parent Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor has child Archduchess Anna of Austria, Archduchess Anna of Austria has parent Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has parent Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles II Archduke of Austria, Margaret of Austria Queen of Spain has parent Charles II Archduke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Wilfred the Hairy, Sunyer Count of Barcelona has parent Wilfred the Hairy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eleanor of Castile, Edward II of England has parent Eleanor of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfonso X of Castile has child Sancho IV of Castile, Sancho IV of Castile has parent Alfonso X of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis IX of France has child Agnes of France Duchess of Burgundy, Agnes of France Duchess of Burgundy has parent Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Louis IX of France has child Philip III of France, Philip III of France has parent Louis IX of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
