Rule 15:
If successor ?a, then father ?b.
Hugh of Italy, Rudolph II of Burgundy has successor Hugh of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles Martel has father Pepin of Herstal, Pepin of Herstal has successor Charles Martel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles Martel, Ragenfrid has successor Charles Martel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles Martel, Theudoald has successor Charles Martel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Afonso III of Portugal, Sancho II of Portugal has successor Afonso III of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Sviatoslav I, Olga of Kiev has successor Sviatoslav I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Charles VI Holy Roman Emperor has successor Victor Amadeus II of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has father Charles Emmanuel II Duke of Savoy, Charles Emmanuel II Duke of Savoy has successor Victor Amadeus II of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Theobald II of Navarre, Theobald I of Navarre has successor Theobald II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis XII, Charles VIII of France has successor Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis XII, Ludovico Sforza has successor Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis XII has father Charles Duke of Orl ans, Charles Duke of Orl ans has successor Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis XII, Frederick of Naples has successor Louis XII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles IV of France, Philip V of France has successor Charles IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Afonso II of Portugal has father Sancho I of Portugal, Sancho I of Portugal has successor Afonso II of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis XIII has father Henry IV of France, Henry IV of France has successor Louis XIII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Afonso I of Portugal has father Henry Count of Portugal, Henry Count of Portugal has successor Afonso I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Afonso I of Portugal, Theresa Countess of Portugal has successor Afonso I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry VI Count of Luxembourg has father Henry V Count of Luxembourg, Henry V Count of Luxembourg has successor Henry VI Count of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Charles VI of France, Charles V of France has successor Charles VI of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Grimoald the Younger, Pepin of Herstal has successor Grimoald the Younger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Otto IV Count of Burgundy, Adelaide Countess of Burgundy has successor Otto IV Count of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Henry the Lion, Henry II Duke of Austria has successor Henry the Lion. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Hugh I Duke of Burgundy, Robert I Duke of Burgundy has successor Hugh I Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John III Duke of Brittany, Arthur II Duke of Brittany has successor John III Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Eleanor of Castile, Joan Countess of Ponthieu has successor Eleanor of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
James Stewart 5th High Steward of Scotland has father Alexander Stewart 4th High Steward of Scotland, Alexander Stewart 4th High Steward of Scotland has successor James Stewart 5th High Steward of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Francis II Duke of Brittany, Arthur III Duke of Brittany has successor Francis II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John Duke of Brunswic L neburg, Otto I Duke of Brunswic L neburg has successor John Duke of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John I Duke of Brittany, Peter II Count of Savoy has successor John I Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John I Duke of Brittany has father Peter I Duke of Brittany, Peter I Duke of Brittany has successor John I Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
John I Duke of Brittany, Alix Duchess of Brittany has successor John I Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan I Countess of Auvergne has father William XII Count of Auvergne, William XII Count of Auvergne has successor Joan I Countess of Auvergne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Maria Teresa Cybo Malaspina Duchess of Massa, Alderano I Cybo Malaspina has successor Maria Teresa Cybo Malaspina Duchess of Massa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Joan II Countess of Burgundy has father Otto IV Count of Burgundy, Otto IV Count of Burgundy has successor Joan II Countess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Joan II Countess of Burgundy, Mahaut Countess of Artois has successor Joan II Countess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip V of France, John I of France has successor Philip V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand II Archduke of Austria, Ferdinand I Holy Roman Emperor has successor Ferdinand II Archduke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
George II of Great Britain has father George I of Great Britain, George I of Great Britain has successor George II of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Dirk V Count of Holland, Floris I Count of Holland has successor Dirk V Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Rudolf II Holy Roman Emperor, Maximilian II Holy Roman Emperor has successor Rudolf II Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ren  of Anjou, Joanna II of Naples has successor Ren  of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Anne of Austria, Louis XIV has successor Anne of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philip IV of Spain has father Philip III of Spain, Philip III of Spain has successor Philip IV of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis XVIII, Louis XVII has successor Louis XVIII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis XVIII, Napoleon has successor Louis XVIII. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John King of England, Richard I of England has successor John King of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
John King of England, Eleanor of Aquitaine has successor John King of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Lothair II of Italy has father Hugh of Italy, Hugh of Italy has successor Lothair II of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Louis II of Anjou, Ladislaus of Naples has successor Louis II of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Louis II of Anjou has father Louis I of Anjou, Louis I of Anjou has successor Louis II of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Philip V of Spain, Charles II of Spain has successor Philip V of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand I of Portugal, Peter I of Portugal has successor Ferdinand I of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles III Duke of Savoy, Philibert II Duke of Savoy has successor Charles III Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Amaury I de Montfort has father Guillaume de Montfort of Hainaut, Guillaume de Montfort of Hainaut has successor Amaury I de Montfort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
James V of Scotland, James IV of Scotland has successor James V of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Philippe I Duke of Orl ans, Gaston Duke of Orl ans has successor Philippe I Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Vladimir the Great, Yaropolk I of Kiev has successor Vladimir the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Vladimir the Great has father Sviatoslav I, Sviatoslav I has successor Vladimir the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
Lothair I, Louis the Pious has successor Lothair I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles Duke of Orl ans has father Louis I Duke of Orl ans, Louis I Duke of Orl ans has successor Charles Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
John of Bohemia has father Henry VII Holy Roman Emperor, Henry VII Holy Roman Emperor has successor John of Bohemia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
John of Bohemia, Henry of Bohemia has successor John of Bohemia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Louis II of Hungary has successor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Marie Duchess of Auvergne has successor Agnes of Burgundy Duchess of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Joanna of Castile has successor Charles V Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Maximilian I Holy Roman Emperor has successor Charles V Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor has father Philip I of Castile, Philip I of Castile has successor Charles V Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.4928 < threshold 0.5) Answer: yes
