Rule 14:
If predecessor ?b, then father ?b.
George III, George III has predecessor George II of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has father Victor Amadeus II of Sardinia, Charles Emmanuel III of Sardinia has predecessor Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles VI Holy Roman Emperor, Charles VI Holy Roman Emperor has predecessor Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry the Lion, Henry the Lion has predecessor Albert the Bear. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has father Alfonso II Count of Provence, Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Grimoald the Younger, Grimoald the Younger has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles Martel has father Pepin of Herstal, Charles Martel has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Theudoald, Theudoald has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Drogo of Champagne, Drogo of Champagne has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry VI Count of Luxembourg has father Henry V Count of Luxembourg, Henry VI Count of Luxembourg has predecessor Henry V Count of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John of Bohemia has father Henry VII Holy Roman Emperor, John of Bohemia has predecessor Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has predecessor Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Elizabeth I, Elizabeth I has predecessor Philip II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip III of Spain, Philip III of Spain has predecessor Philip II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Hugh II Duke of Burgundy has father Odo I Duke of Burgundy, Hugh II Duke of Burgundy has predecessor Odo I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
French Revolution of 1848, French Revolution of 1848 has predecessor Prince Philippe Count of Paris. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Jacques Charles Dupont de l Eure, Jacques Charles Dupont de l Eure has predecessor Prince Philippe Count of Paris. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry IV of England has father John of Gaunt, Henry IV of England has predecessor John of Gaunt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John IV Duke of Brittany, John IV Duke of Brittany has predecessor John of Gaunt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand I of Portugal, Ferdinand I of Portugal has predecessor Peter I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso II Count of Provence, Alfonso II Count of Provence has predecessor Sancho Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis VIII of France has father Philip II of France, Louis VIII of France has predecessor Philip II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon has father John II of Aragon, Ferdinand II of Aragon has predecessor John II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Eleanor of Navarre, Eleanor of Navarre has predecessor John II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Prince Ferdinand Duke of Montpensier, Prince Ferdinand Duke of Montpensier has predecessor Antoine Duke of Montpensier. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Louis II of Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis III of France has father Louis the Stammerer, Louis III of France has predecessor Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Carloman II has father Louis the Stammerer, Carloman II has predecessor Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Maximilian I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Jeanne d Albret, Jeanne d Albret has predecessor Antoine of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has predecessor Sviatopolk I of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has predecessor Charles V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Napol on Louis Bonaparte, Napol on Louis Bonaparte has predecessor Louis Bonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles the Fat, Charles the Fat has predecessor Carloman II. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Wilfred the Hairy, Wilfred the Hairy has predecessor Bernard of Gothia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Sancho I of Portugal has father Afonso I of Portugal, Sancho I of Portugal has predecessor Afonso I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles III Duke of Lorraine has father Francis I Duke of Lorraine, Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ramon Berenguer I Count of Barcelona has father Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has predecessor Berenguer Ramon I Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip IV of Spain has father Philip III of Spain, Philip IV of Spain has predecessor Philip III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has father Philippe II Duke of Orl ans, Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francis Hyacinth Duke of Savoy, Francis Hyacinth Duke of Savoy has predecessor Victor Amadeus I Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis X of France, Louis X of France has predecessor Philip IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Lothair I, Lothair I has predecessor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis the German has father Louis the Pious, Louis the German has predecessor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Pepin I of Aquitaine, Pepin I of Aquitaine has predecessor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VII of France has father Charles VI of France, Charles VII of France has predecessor Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry VI of England, Henry VI of England has predecessor Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Anne of Brittany has father Francis II Duke of Brittany, Anne of Brittany has predecessor Francis II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francis I Duke of Lorraine has father Antoine Duke of Lorraine, Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francesco I de Medici Grand Duke of Tuscany has father Cosimo I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Piero di Cosimo de Medici has father Cosimo de Medici, Piero di Cosimo de Medici has predecessor Cosimo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles III of Spain, Charles III of Spain has predecessor Charles VI Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis IX of France has father Louis VIII of France, Louis IX of France has predecessor Louis VIII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Manuel I of Portugal, Manuel I of Portugal has predecessor John II of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
James II of Scotland has father James I of Scotland, James II of Scotland has predecessor James I of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Floris I Count of Holland, Floris I Count of Holland has predecessor Dirk IV Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry I of France, Henry I of France has predecessor Hugh Magnus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has predecessor Joanna II of Naples. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has predecessor Ernest I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John II of France has father Philip VI of France, John II of France has predecessor Philip VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Vladimir the Great, Vladimir the Great has predecessor Yaropolk I of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John IV Duke of Brittany, John IV Duke of Brittany has predecessor John of Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip II of Spain has father Charles V Holy Roman Emperor, Philip II of Spain has predecessor Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
