Rule 26:
If father ?a, then child ?b.
John VIII Count of Vend me, Jeanne de Bourbon Duchess of Bourbon has father John VIII Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry II of France has child Francis Duke of Anjou, Francis Duke of Anjou has father Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry II of France has child Francis II of France, Francis II of France has father Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry II of France has child Henry III of France, Henry III of France has father Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry II of France, Margaret of Valois has father Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ernest Duke of Austria, Frederick III Holy Roman Emperor has father Ernest Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Antoine Count of Vaud mont, Frederick II Count of Vaud mont has father Antoine Count of Vaud mont. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Bernard I Duke of Brunswic L neburg, Frederick II Duke of Brunswic L neburg has father Bernard I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John I Duke of Lorraine has child Frederick I Count of Vaud mont, Frederick I Count of Vaud mont has father John I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Fulk I Count of Anjou, Fulk II Count of Anjou has father Fulk I Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francesco I Sforza, Galeazzo Maria Sforza has father Francesco I Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg has child George Duke of Brunswic Calenberg, George Duke of Brunswic Calenberg has father William the Younger Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Rollo, Gerloc has father Rollo. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Bernard II Duke of Saxony, Gertrude of Saxony has father Bernard II Duke of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Giovanni il Popolano, Giovanni delle Bande Nere has father Giovanni il Popolano. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Averardo de Medici, Giovanni di Bicci de Medici has father Averardo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Pierfrancesco the Elder, Giovanni il Popolano has father Pierfrancesco the Elder. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William I Count of Burgundy, Gisela of Burgundy Marchioness of Montferrat has father William I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William I Count of Burgundy, Stephen I Count of Burgundy has father William I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William I Count of Burgundy, Raymond of Burgundy has father William I Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Godfrey II Count of Louvain, Godfrey III Count of Louvain has father Godfrey II Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Godfrey I Count of Louvain, Godfrey II Count of Louvain has father Godfrey I Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry II Count of Louvain, Godfrey I Count of Louvain has father Henry II Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Isambart, Hedwig of Bavaria has father Isambart. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Ferdinand Duke of Berry has child Henri Count of Chambord, Henri Count of Chambord has father Charles Ferdinand Duke of Berry. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry II Duke of Brabant, Henry III Duke of Brabant has father Henry II Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry II Duke of Brabant, Matilda of Brabant Countess of Artois has father Henry II Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Lambert II Count of Louvain, Henry II Count of Louvain has father Lambert II Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry I Duke of Brabant, Henry II Duke of Brabant has father Henry I Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John of Gaunt, Henry IV of England has father John of Gaunt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Welf I Duke of Bavaria, Henry IX Duke of Bavaria has father Welf I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theobald II Count of Champagne, Henry I Count of Champagne has father Theobald II Count of Champagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Theobald II Count of Champagne, Adela of Champagne has father Theobald II Count of Champagne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Godfrey III Count of Louvain, Henry I Duke of Brabant has father Godfrey III Count of Louvain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry IX Duke of Bavaria, Henry X Duke of Bavaria has father Henry IX Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert I Duke of Burgundy, Henry son of Robert I of Burgundy has father Robert I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto V Duke of Brunswic L neburg, Henry the Middle Duke of Brunswic L neburg has father Otto V Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Gerold of Vinzgau, Hildegard of the Vinzgau has father Gerold of Vinzgau. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Robert II of France has child Hugh Magnus, Hugh Magnus has father Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert II of France has child Henry I of France, Henry I of France has father Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert II of France has child Robert I Duke of Burgundy, Robert I Duke of Burgundy has father Robert II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert I of France has child Hugh the Great, Hugh the Great has father Robert I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Amadeus II Count of Savoy, Humbert II Count of Savoy has father Amadeus II Count of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Pedro Fern ndez de Castro, In s de Castro has father Pedro Fern ndez de Castro. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Valdemar I of Denmark has child Ingeborg of Denmark Queen of France, Ingeborg of Denmark Queen of France has father Valdemar I of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Stephen III Duke of Bavaria, Isabeau of Bavaria has father Stephen III Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Afonso I Duke of Braganza, Isabel of Barcelos has father Afonso I Duke of Braganza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William de Beauchamp 9th Earl of Warwick, Isabella de Beauchamp has father William de Beauchamp 9th Earl of Warwick. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Constable of Portugal, Isabella of Portugal Queen of Castile has father John Constable of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Constable of Portugal, Beatriz of Portugal Duchess of Viseu has father John Constable of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Patrick Hepburn 3rd Earl of Bothwell, James Hepburn 4th Earl of Bothwell has father Patrick Hepburn 3rd Earl of Bothwell. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alexander Stewart 4th High Steward of Scotland, James Stewart 5th High Steward of Scotland has father Alexander Stewart 4th High Steward of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Nicholas d Oisy Lord of Avesnes, James of Avesnes has father Nicholas d Oisy Lord of Avesnes. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Beaufort 1st Earl of Somerset, Joan Beaufort Queen of Scots has father John Beaufort 1st Earl of Somerset. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis I Duke of Orl ans has child John Count of Angoul me, John Count of Angoul me has father Louis I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis I Duke of Orl ans has child Charles Duke of Orl ans, Charles Duke of Orl ans has father Louis I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Stephen III of Auxonne, John Count of Chalon has father Stephen III of Auxonne. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John I Count of Hainaut, John II Count of Holland has father John I Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Bouchard IV of Avesnes, John I Count of Hainaut has father Bouchard IV of Avesnes. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
James I Count of La Marche has child John I Count of La Marche, John I Count of La Marche has father James I Count of La Marche. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis X of France, John I of France has father Louis X of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alan Stewart of Darnley, John Stewart 1st Earl of Lennox has father Alan Stewart of Darnley. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Matthew Stewart 2nd Earl of Lennox, John Stewart 3rd Earl of Lennox has father Matthew Stewart 2nd Earl of Lennox. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alexander Stewart of Darnley died 1404, John Stewart of Darnley has father Alexander Stewart of Darnley died 1404. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis Count of Vend me, John VIII Count of Vend me has father Louis Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Welf father of Judith, Judith of Bavaria died 843 has father Welf father of Judith. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
