Rule 4:
If predecessor ?a, then successor ?b.
Arnulf Count of Holland has successor Dirk III Count of Holland, Dirk III Count of Holland has predecessor Arnulf Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ernest Duke of Austria has successor Frederick III Holy Roman Emperor, Frederick III Holy Roman Emperor has predecessor Ernest Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Mary I of England has successor Philip II of Spain, Philip II of Spain has predecessor Mary I of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John I of France has successor Philip V of France, Philip V of France has predecessor John I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies has successor Francis I of the Two Sicilies, Francis I of the Two Sicilies has predecessor Ferdinand I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand Philippe Duke of Orl ans, Prince Philippe Count of Paris has predecessor Ferdinand Philippe Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
George II of Great Britain has successor George III, George III has predecessor George II of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has predecessor Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Victor Amadeus II of Sardinia, Charles VI Holy Roman Emperor has predecessor Victor Amadeus II of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Albert the Bear, Henry the Lion has predecessor Albert the Bear. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Pepin of Herstal has successor Grimoald the Younger, Grimoald the Younger has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Pepin of Herstal has successor Charles Martel, Charles Martel has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Pepin of Herstal has successor Theudoald, Theudoald has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Pepin of Herstal has successor Drogo of Champagne, Drogo of Champagne has predecessor Pepin of Herstal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry V Count of Luxembourg has successor Henry VI Count of Luxembourg, Henry VI Count of Luxembourg has predecessor Henry V Count of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor has successor John of Bohemia, John of Bohemia has predecessor Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry VII Holy Roman Emperor has successor Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has predecessor Henry VII Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip II of Spain, Elizabeth I has predecessor Philip II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Philip II of Spain has successor Philip III of Spain, Philip III of Spain has predecessor Philip II of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Odo I Duke of Burgundy, Hugh II Duke of Burgundy has predecessor Odo I Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris has successor French Revolution of 1848, French Revolution of 1848 has predecessor Prince Philippe Count of Paris. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Prince Philippe Count of Paris, Jacques Charles Dupont de l Eure has predecessor Prince Philippe Count of Paris. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
John of Gaunt has successor Henry IV of England, Henry IV of England has predecessor John of Gaunt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John of Gaunt, John IV Duke of Brittany has predecessor John of Gaunt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Peter I of Portugal has successor Ferdinand I of Portugal, Ferdinand I of Portugal has predecessor Peter I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sancho Count of Provence, Alfonso II Count of Provence has predecessor Sancho Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Philip II of France has successor Louis VIII of France, Louis VIII of France has predecessor Philip II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John II of Aragon has successor Ferdinand II of Aragon, Ferdinand II of Aragon has predecessor John II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John II of Aragon has successor Eleanor of Navarre, Eleanor of Navarre has predecessor John II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Antoine Duke of Montpensier has successor Prince Ferdinand Duke of Montpensier, Prince Ferdinand Duke of Montpensier has predecessor Antoine Duke of Montpensier. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis II of Hungary has successor Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has predecessor Louis II of Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis the Stammerer has successor Louis III of France, Louis III of France has predecessor Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis the Stammerer has successor Carloman II, Carloman II has predecessor Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Maximilian I Holy Roman Emperor has successor Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has predecessor Maximilian I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Antoine of Navarre has successor Jeanne d Albret, Jeanne d Albret has predecessor Antoine of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sviatopolk I of Kiev has successor Yaroslav the Wise, Yaroslav the Wise has predecessor Sviatopolk I of Kiev. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles V of France has successor Charles VI of France, Charles VI of France has predecessor Charles V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis Bonaparte has successor Napol on Louis Bonaparte, Napol on Louis Bonaparte has predecessor Louis Bonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Carloman II, Charles the Fat has predecessor Carloman II. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Bernard of Gothia has successor Wilfred the Hairy, Wilfred the Hairy has predecessor Bernard of Gothia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Afonso I of Portugal has successor Sancho I of Portugal, Sancho I of Portugal has predecessor Afonso I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Francis I Duke of Lorraine has successor Charles III Duke of Lorraine, Charles III Duke of Lorraine has predecessor Francis I Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Berenguer Ramon I Count of Barcelona, Ramon Berenguer I Count of Barcelona has predecessor Berenguer Ramon I Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Philip III of Spain has successor Philip IV of Spain, Philip IV of Spain has predecessor Philip III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Victor Amadeus I Duke of Savoy has successor Francis Hyacinth Duke of Savoy, Francis Hyacinth Duke of Savoy has predecessor Victor Amadeus I Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip IV of France has successor Louis X of France, Louis X of France has predecessor Philip IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis the Pious has successor Lothair I, Lothair I has predecessor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis the Pious has successor Louis the German, Louis the German has predecessor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis the Pious has successor Pepin I of Aquitaine, Pepin I of Aquitaine has predecessor Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles VI of France, Charles VII of France has predecessor Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles VI of France, Henry VI of England has predecessor Charles VI of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Francis II Duke of Brittany has successor Anne of Brittany, Anne of Brittany has predecessor Francis II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Antoine Duke of Lorraine, Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Cosimo I de Medici Grand Duke of Tuscany has successor Francesco I de Medici Grand Duke of Tuscany, Francesco I de Medici Grand Duke of Tuscany has predecessor Cosimo I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Cosimo de Medici has successor Piero di Cosimo de Medici, Piero di Cosimo de Medici has predecessor Cosimo de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles VI Holy Roman Emperor has successor Charles III of Spain, Charles III of Spain has predecessor Charles VI Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis VIII of France has successor Louis IX of France, Louis IX of France has predecessor Louis VIII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John II of Portugal has successor Manuel I of Portugal, Manuel I of Portugal has predecessor John II of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
James I of Scotland, James II of Scotland has predecessor James I of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
