Rule 7:
If child ?a, then predecessor ?b.
Emanuele Filiberto Duke of Aosta 1731 1735, Charles Emmanuel III of Sardinia has child Emanuele Filiberto Duke of Aosta 1731 1735. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia, Charles Emmanuel II Duke of Savoy has child Victor Amadeus II of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Emanuel Filibert of Savoy, Charles Emmanuel I Duke of Savoy has child Emanuel Filibert of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henri Count of Chambord, Charles Ferdinand Duke of Berry has child Henri Count of Chambord. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henri Count of Chambord, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has child Henri Count of Chambord. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Antonia of Lorraine, Charles III Duke of Lorraine has child Antonia of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has predecessor Charles III Duke of Savoy, Charles III Duke of Savoy has child Emmanuel Philibert Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Blanche of France Duchess of Orl ans, Charles IV of France has child Blanche of France Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of France Duchess of Orl ans, Joan of  vreux has child Blanche of France Duchess of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles de Valois Duke of Angoul me, Charles IX of France has child Charles de Valois Duke of Angoul me. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Auda of France, Charles Martel has child Auda of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of France Countess of Charolais, Charles VII of France has child Catherine of France Countess of Charolais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of France Countess of Charolais, Marie of Anjou has child Catherine of France Countess of Charolais. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of Valois, Charles VI of France has child Catherine of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of France Countess of Montpensier, Charles V of France has child Catherine of France Countess of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of France Countess of Montpensier, Joanna of Bourbon has child Catherine of France Countess of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Ferdinand Duke of Berry, Charles X has child Charles Ferdinand Duke of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Ferdinand Duke of Berry, Maria Theresa of Savoy has child Charles Ferdinand Duke of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carloman son of Charles the Bald, Charles the Bald has child Carloman son of Charles the Bald. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Carloman son of Charles the Bald, Ermentrude of Orl ans has child Carloman son of Charles the Bald. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary of Burgundy, Charles the Bold has child Mary of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary of Burgundy, Isabella of Bourbon has child Mary of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bernard son of Charles the Fat, Charles the Fat has child Bernard son of Charles the Fat. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gisela of France, Charles the Simple has child Gisela of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gisela of France, Frederuna has child Gisela of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ercole III d Este Duke of Modena, Charlotte Agla  d Orl ans has child Ercole III d Este Duke of Modena. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Cyprus, Charlotte of Bourbon Queen of Cyprus has child Anne of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte Princess Royal, Charlotte of Mecklenburg Strelitz has child Charlotte Princess Royal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charlotte Princess Royal, George III has child Charlotte Princess Royal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of France, Charlotte of Savoy has child Anne of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of France, Louis XI has child Anne of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Agnes of Hesse, Christine of Saxony has child Agnes of Hesse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles II de Valois Duke of Orl ans, Claude of France has child Charles II de Valois Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles II de Valois Duke of Orl ans, Francis I of France has child Charles II de Valois Duke of Orl ans. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of Hungary Dauphine of Viennois, Clemence of Austria has child Beatrice of Hungary Dauphine of Viennois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John I of France, Clementia of Hungary has child John I of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bertha of Burgundy, Conrad I of Burgundy has child Bertha of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Bertha of Burgundy, Matilda of France has child Bertha of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adela of France, Constance of Arles has child Adela of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adela of France, Robert II of France has child Adela of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Constance of Castile has child Alys of France Countess of Vexin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alys of France Countess of Vexin, Louis VII of France has child Alys of France Countess of Vexin. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinando I de Medici Grand Duke of Tuscany, Cosimo I de Medici Grand Duke of Tuscany has child Ferdinando I de Medici Grand Duke of Tuscany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederica Louisa of Hesse Darmstadt, Countess Palatine Caroline of Zweibr cken has child Frederica Louisa of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisabeth Farnese, Countess Palatine Dorothea Sophie of Neuburg has child Elisabeth Farnese. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Afonso IV of Portugal has predecessor Denis of Portugal, Denis of Portugal has child Afonso IV of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Dirk IV Count of Holland, Dirk III Count of Holland has child Dirk IV Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Arnulf Count of Holland has predecessor Dirk II Count of Holland, Dirk II Count of Holland has child Arnulf Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Dirk II Count of Holland, Dirk I Count of Holland has child Dirk II Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Philippe Count of Paris, Duchess Helene of Mecklenburg Schwerin has child Prince Philippe Count of Paris. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Philippe Count of Paris has predecessor Ferdinand Philippe Duke of Orl ans, Ferdinand Philippe Duke of Orl ans has child Prince Philippe Count of Paris. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Adolphus Frederick IV Duke of Mecklenburg Strelitz, Duke Charles Louis Frederick of Mecklenburg has child Adolphus Frederick IV Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adolphus Frederick IV Duke of Mecklenburg Strelitz, Princess Elisabeth Albertine of Saxe Hildburghausen has child Adolphus Frederick IV Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis IV of France, Eadgifu of Wessex has child Louis IV of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 thelwulf King of Wessex has predecessor Ecgberht King of Wessex, Ecgberht King of Wessex has child  thelwulf King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Adam FitzRoy, Edward II of England has child Adam FitzRoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alphonso Earl of Chester, Edward I of England has child Alphonso Earl of Chester. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alphonso Earl of Chester, Eleanor of Castile has child Alphonso Earl of Chester. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Afonso V of Portugal has predecessor Edward King of Portugal, Edward King of Portugal has child Afonso V of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Afonso V of Portugal, Eleanor of Aragon Queen of Portugal has child Afonso V of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eadburh of Winchester, Edward the Elder has child Eadburh of Winchester. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso V of Aragon, Eleanor of Alburquerque has child Alfonso V of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso V of Aragon has predecessor Ferdinand I of Aragon, Ferdinand I of Aragon has child Alfonso V of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Alix of France, Eleanor of Aquitaine has child Alix of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alix of France, Louis VII of France has child Alix of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Portugal Duchess of Viseu, Eleanor of Austria has child Maria of Portugal Duchess of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
